CellNumber	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
3	124.415825263	129.563347092	57.6737139446	150.240527388	35.9007096567	60.1166198396	63.4008781294	30.2924594651	92.6407709838	41.8268810494	127.781747497	61.7760224371	106.350921662	67.7597040787	72.3262512474	186.886853076	57.6031878719	60.9990050512	136.257273366	61.4826781786	45.6897356191
16	185.541144437	195.965546949	91.793879406	205.025792483	58.6735566778	93.8916047009	99.8054957129	51.7204349754	146.105245845	68.6126570884	195.079751444	95.9862787059	166.960805436	110.086854018	116.675981552	241.935034435	91.1016159549	98.8115195672	209.424412763	101.011825406	70.5208949264
17	28.9223378237	24.7370680049	12.0993335745	40.5177488424	8.3532348695	11.6526754786	12.7095224773	8.23365193781	18.7158860702	9.86807133698	27.794898335	11.7080634544	21.0748389862	15.4152906021	16.0095428867	71.2637317009	11.7738163439	13.721096521	27.1554746745	14.5888990668	8.40707795543
27	6.99972849639	2.24460388305	0.0	19.7383764678	0.0	0.0	0.0	0.0	0.0	0.0	4.00631327526	0.0	0.0	0.0	0.0	40.2167463334	0.0	0.0	1.88468473789	0.0	0.0
28	0.269835908665	0.0	0.0	1.80336103021	0.0	0.0	0.0	0.0	0.0	0.0	0.0981845161032	0.0	0.0	0.0	0.0	12.450919194	0.0	0.0	0.0	0.0	0.0
29	21.9573049566	26.0426616312	8.89793578194	27.4316551026	6.76657069978	12.1507145274	11.6368626741	3.72025104923	15.3519088767	7.05958020924	22.1845818593	11.8064844721	21.1763595945	11.5027922192	11.4907428857	51.9021167149	10.6887042724	11.2375754788	26.8057667732	11.0377863356	8.74469940669
30	109.600429195	122.755212129	54.091659178	126.049742748	34.1950049561	57.2218884347	60.6509707134	27.8862117638	88.1381866156	38.6568748312	114.772948836	57.8404082837	98.6576454594	64.6279800431	68.8672022606	155.62736795	54.6931715082	58.2047301698	125.865153634	56.4689225229	43.1089362468
31	30.3741172614	22.3769327244	9.1579442123	51.7437570083	5.46139253593	9.16280605522	9.52507227202	5.04969475041	14.1391064703	6.90285688867	26.827936903	9.85443547485	17.384007179	10.2679223744	11.0129899176	85.7808962699	8.84194501891	9.23203919167	24.5063058494	10.3083682139	7.13772175072
32	23.1277258654	7.65467478064	0.0	61.8822751896	0.0	0.0	0.0	0.0	0.0	0.0	13.399160705	0.0	0.0	0.0	0.0	95.4197401491	0.0	0.0	6.42725820871	0.0	0.0
34	21.7859762777	7.20268446026	0.0	58.4363258692	0.0	0.0	0.0	0.0	0.0	0.0	12.6159328176	0.0	0.0	0.0	0.0	91.663600616	0.0	0.0	6.04774391448	0.0	0.0
39	57.6559124354	63.2021374801	28.8368569723	64.0518304405	17.9503548284	30.0583099198	31.7004390647	15.1462297326	46.3203854919	20.9134405247	61.2040137217	30.8880112185	53.1754608311	33.8798520394	36.1631256237	86.2715047498	28.801593936	30.4995025256	66.8023770528	30.7413390893	22.8448678096
40	1.61069088891	0.451296018813	0.0	5.23281146251	0.0	0.0	0.0	0.0	0.0	0.0	0.880920762648	0.0	0.0	0.0	0.0	15.9505337738	0.0	0.0	0.378931322962	0.0	0.0
41	1.65703456256	0.451296018813	0.0	5.97428046537	0.0	0.0	0.0	0.0	0.0	0.0	0.891261569317	0.0	0.0	0.0	0.0	25.0095975207	0.0	0.0	0.378931322962	0.0	0.0
42	0.360372652833	0.0	0.0	3.13871085217	0.0	0.0	0.0	0.0	0.0	0.0	0.12009600539	0.0	0.0	0.0	0.0	28.334445107	0.0	0.0	0.0	0.0	0.0
43	6.65720215908	2.1060480878	0.0	19.5866006522	0.0	0.0	0.0	0.0	0.0	0.0	3.78452465974	0.0	0.0	0.0	0.0	49.3703593823	0.0	0.0	1.76834617382	0.0	0.0
44	13.8720971695	3.16006672451	0.0	26.0055702194	0.0	0.0	0.0	0.0	0.217602399939	0.0	8.24477232527	0.0	0.0	0.0	0.0	62.9642083009	0.0	0.0	5.50836986168	0.0	0.0
45	11.8038569211	3.83601615991	0.0	32.8731736413	0.0	0.0	0.0	0.0	0.0	0.0	6.78601276828	0.0	0.0	0.0	0.0	64.6259714579	0.0	0.0	3.22091624518	0.0	0.0
46	7.77648781872	2.48212810347	0.0	22.4788851043	0.0	0.0	0.0	0.0	0.0	0.0	4.43717126222	0.0	0.0	0.0	0.0	52.7219948585	0.0	0.0	2.08412227629	0.0	0.0
47	103.668381471	126.42855008	49.0693727317	127.589988309	33.5492552299	57.0201706916	59.6702273637	23.0865150425	83.8091823805	34.5777705843	105.693349432	54.9182657986	92.7838571048	62.104498502	65.02264938	154.861931934	53.1142669263	57.0125415535	121.436159847	50.5355888633	41.6223817216
48	0.4324471834	0.0	0.0	3.76645302261	0.0	0.0	0.0	0.0	0.0	0.0	0.144115206468	0.0	0.0	0.0	0.0	34.0013341284	0.0	0.0	0.0	0.0	0.0
49	0.4324471834	0.0	0.0	3.76645302261	0.0	0.0	0.0	0.0	0.0	0.0	0.144115206468	0.0	0.0	0.0	0.0	34.0013341284	0.0	0.0	0.0	0.0	0.0
52	36.6887085119	34.2569899896	15.2520544217	44.8286893131	9.28451098533	16.2251462862	16.2607969381	8.27439589908	24.8780409669	11.5049189321	37.3283874822	17.2209894683	31.391186027	17.5792378024	18.8333645342	76.1242452528	15.1675054722	15.92449624	38.9014247847	17.9178516278	12.3282861648
53	32.0923566218	35.6842576483	9.91634606968	34.5178542123	8.07259583401	15.167880447	13.6382368624	4.14693665624	18.6932407203	9.51068076051	33.9162537893	15.3867753852	33.0065179179	13.6657244289	12.1526074441	45.751395649	12.9209952337	14.8147518418	39.8034648711	15.6135999556	10.7723115577
54	2.69823014162	0.773650317966	0.0	9.34358870542	0.0	0.0	0.0	0.0	0.0	0.0	1.47525154316	0.0	0.0	0.0	0.0	37.1628980715	0.0	0.0	0.64959655365	0.0	0.0
55	26.4327407288	29.4889711889	12.589008515	34.2303153481	8.06099422792	13.4818383382	14.3482139146	6.3873124868	20.7578567362	8.88474371451	26.9924637224	13.4421300413	22.7480052997	15.2520457999	16.2301017601	61.8582120777	12.8597532821	13.7409854715	29.4837595562	12.9082299872	10.0832661349
56	76.0017109983	83.7145638648	23.1381408293	82.7713309154	18.836056946	35.3917210431	31.8225526788	9.67618553124	43.6175616807	22.1915884412	79.8359156576	35.9024758988	77.0152084752	31.886690334	28.3560840361	104.517640674	30.1489888787	34.5677542976	93.253682689	36.4317332296	25.1353936347
57	75.9238072289	78.8125442237	34.6896970329	85.0313509171	22.1476353928	37.9561683155	38.4625764198	17.9418403463	55.1722495483	26.5002792018	79.5952818161	39.5597925441	70.1354002211	40.4206144164	42.5069185719	118.340657569	35.5905086113	37.2380123859	87.2163717683	40.0695172238	28.8468545414
