CellNumber	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
3	178.446381613	153.483549963	57.6737139446	215.396180456	35.9007096567	60.1166198396	63.4008781294	30.2924594651	93.208383466	41.8268810494	159.633619338	61.7760224371	106.350921662	67.7597040787	72.4313417038	235.130792589	57.6031878719	60.9990050512	164.360053596	61.4826781786	45.6897356191
16	230.897155238	214.213024548	91.793879406	263.548396437	58.6735566778	93.8916047009	99.8054957129	51.7204349754	146.530955207	68.6126570884	219.993423577	95.9862787059	166.960805436	110.086854018	116.754799394	284.630356135	91.1016159549	98.8115195672	231.401374384	101.011825406	70.5208949264
17	75.3555119426	37.5661143138	12.0993335745	112.654001059	8.3532348695	11.6526754786	12.7095224773	8.23365193781	18.9895563741	9.86807133698	47.4738318293	11.7080634544	21.0748389862	15.4152906021	16.0602114996	121.988972457	11.7738163439	13.721096521	44.5001010763	14.5888990668	8.40707795543
27	43.5986155636	15.6595880786	0.0	74.4456361644	0.0	0.0	0.0	0.0	0.302477704302	0.0	22.792285321	0.0	0.0	0.0	0.0560021510799	90.0055531503	0.0	0.0	18.325125345	0.0	0.0
28	14.6946433784	1.22446911767	0.0	38.4800819732	0.0	0.0	0.0	0.0	0.0	0.0	3.4378811752	0.0	0.0	0.0	0.0	56.1603579884	0.0	0.0	2.70573741967	0.0	0.0
29	50.1998662079	27.8459373253	8.89793578194	84.0807893223	6.76657069978	12.1507145274	11.6368626741	3.72025104923	15.3519088767	7.05958020924	28.1796639228	11.8064844721	21.1763595945	11.5027922192	11.4907428857	90.5419164566	10.6887042724	11.2375754788	32.0647461999	11.0377863356	8.74469940669
30	144.735769916	132.671084598	54.091659178	180.19910795	34.1950049561	57.2218884347	60.6509707134	27.8862117638	88.3510412964	38.6568748312	129.871132857	57.8404082837	98.6576454594	64.6279800431	68.9066111817	193.760704397	54.6931715082	58.2047301698	139.173072828	56.4689225229	43.1089362468
31	89.2658745385	46.1609326201	9.1579442123	127.541647596	5.46139253593	9.16280605522	9.52507227202	5.04969475041	14.6943795507	6.90285688867	59.2671520847	9.85443547485	17.384007179	10.2679223744	11.1157957988	141.108982832	8.84194501891	9.23203919167	53.1219610749	10.3083682139	7.13772175072
32	100.850392767	49.8235629536	0.0	139.398903311	0.0	0.0	0.0	0.0	1.03152653006	0.0	66.9440614335	0.0	0.0	0.0	0.190981694709	155.514853988	0.0	0.0	53.6878053246	0.0	0.0
34	96.9641880982	47.011629678	0.0	135.461180721	0.0	0.0	0.0	0.0	0.970617344471	0.0	63.4327144047	0.0	0.0	0.0	0.179704680354	150.965625551	0.0	0.0	50.8984062471	0.0	0.0
