CellNum	LandUse	SoilClass
0	Scrub	Inceptisols
1	Scrub	Inceptisols
2	Scrub	Inceptisols
3	Scrub	Inceptisols
4	Scrub	Inceptisols
5	Scrub	Inceptisols
6	Scrub	Inceptisols
7	Scrub	Inceptisols
8	Scrub	Inceptisols
9	Scrub	Inceptisols
10	Scrub	Inceptisols
11	Scrub	Alfisols 1
12	Scrub	Alfisols 1
13	Scrub	Alfisols 1
14	Scrub	Alfisols 1
15	Scrub	Alfisols 1
16	Scrub	Alfisols 1
17	Scrub	Inceptisols
18	Scrub	Alfisols 1
19	Scrub	Alfisols 1
20	Scrub	Alfisols 1
21	Scrub	Inceptisols
22	PaddyR	Alfisols 1
23	PaddyR	Alfisols 1
24	PaddyK	Alfisols 1
25	Scrub	Alfisols 1
26	Scrub	Alfisols 1
27	Fruit	Inceptisols
28	Fruit	Alfisols 1
29	Scrub	Alfisols 1
30	Scrub	Alfisols 1
31	Scrub	Alfisols 1
32	Scrub	Inceptisols
33	Scrub	Alfisols 1
34	Scrub	Alfisols 1
35	Scrub	Inceptisols
36	Scrub	Inceptisols
37	Scrub	Inceptisols
38	Scrub	Inceptisols
39	PaddyK	Alfisols 1
40	PaddyR	Alfisols 1
41	PaddyR	Inceptisols
42	Scrub	Inceptisols
43	Scrub	Inceptisols
44	Scrub	Alfisols 1
45	PaddyR	Inceptisols
46	Scrub	Alfisols 1
47	Scrub	Alfisols 1
48	Scrub	Inceptisols
49	Scrub	Inceptisols
50	Scrub	Alfisols 1
51	Scrub	Alfisols 1
52	Scrub	Inceptisols
53	Scrub	Inceptisols
54	Scrub	Alfisols 1
55	Scrub	Alfisols 1
56	Scrub	Alfisols 1
57	Scrub	Inceptisols
58	Scrub	Alfisols 1
59	Scrub	Inceptisols
60	Scrub	Inceptisols
61	Scrub	Alfisols 1
62	Scrub	Alfisols 1
63	Scrub	Alfisols 1
64	Scrub	Alfisols 1
65	Scrub	Alfisols 1
66	Scrub	Alfisols 1
67	Scrub	Alfisols 1
68	Scrub	Alfisols 1
69	Scrub	Alfisols 1
70	Scrub	Inceptisols
71	Scrub	Alfisols 1
72	PaddyR	Alfisols 1
73	Scrub	Alfisols 1
74	Scrub	Inceptisols
75	Scrub	Alfisols 1
76	Scrub	Alfisols 1
77	Scrub	Inceptisols
78	Scrub	Alfisols 1
79	Scrub	Alfisols 1
80	Scrub	Alfisols 1
81	Scrub	Alfisols 1
82	Scrub	Alfisols 1
83	Scrub	Inceptisols
84	Scrub	Alfisols 1
85	Scrub	Inceptisols
86	PaddyR	Alfisols 1
87	PaddyR	Alfisols 1
88	Scrub	Inceptisols
89	Scrub	Alfisols 1
90	Scrub	Alfisols 1
91	Scrub	Alfisols 1
92	Scrub	Alfisols 1
93	Scrub	Alfisols 1
94	Scrub	Inceptisols
95	Scrub	Inceptisols
96	Scrub	Alfisols 1
97	Scrub	Alfisols 1
98	Scrub	Inceptisols
99	Scrub	Inceptisols
100	Scrub	Inceptisols
101	PaddyK	Alfisols 1
102	PaddyK	Alfisols 1
103	PaddyR	Inceptisols
104	Scrub	Alfisols 1
105	Scrub	Alfisols 1
106	Scrub	Alfisols 1
107	Scrub	Alfisols 1
108	Scrub	Tank
109	Scrub	Alfisols 1
110	Scrub	Alfisols 1
111	Scrub	Alfisols 1
112	Scrub	Inceptisols
113	Scrub	Inceptisols
114	Scrub	Inceptisols
115	Scrub	Inceptisols
116	Scrub	Inceptisols
117	Scrub	Alfisols 2
118	Scrub	Alfisols 1
119	Scrub	Inceptisols
120	PaddyR	Alfisols 1
121	PaddyR	Alfisols 1
122	Scrub	Inceptisols
123	Scrub	Inceptisols
124	Scrub	Alfisols 1
125	PaddyK	Alfisols 1
126	Scrub	Alfisols 1
127	Scrub	Alfisols 1
128	Scrub	Alfisols 1
129	Scrub	Inceptisols
130	Scrub	Inceptisols
131	Scrub	Alfisols 1
132	Scrub	Alfisols 1
133	Scrub	Inceptisols
134	Scrub	Inceptisols
135	Scrub	Alfisols 2
136	Scrub	Alfisols 1
137	Scrub	Alfisols 1
138	Scrub	Alfisols 1
139	Scrub	Inceptisols
140	Scrub	Alfisols 1
141	Scrub	Alfisols 1
142	Scrub	Inceptisols
143	Scrub	Alfisols 1
144	Scrub	Alfisols 1
145	Scrub	Alfisols 1
146	Scrub	Alfisols 1
147	Scrub	Alfisols 1
148	Scrub	Alfisols 1
149	Scrub	Alfisols 1
150	Scrub	Inceptisols
151	Scrub	Alfisols 1
152	Scrub	Alfisols 1
153	Scrub	Inceptisols
154	Scrub	Inceptisols
155	Scrub	Inceptisols
156	Scrub	Alfisols 2
157	Scrub	Alfisols 2
158	Scrub	Alfisols 2
159	Scrub	Alfisols 2
160	Scrub	Alfisols 2
161	Scrub	Alfisols 2
162	Scrub	Alfisols 2
163	Scrub	Entisols
164	PaddyK	Alfisols 1
165	Scrub	Alfisols 1
166	Scrub	Alfisols 1
167	Scrub	Alfisols 1
168	Scrub	Alfisols 1
169	Scrub	Alfisols 1
170	PaddyK	Alfisols 1
171	Scrub	Alfisols 1
172	Scrub	Alfisols 1
173	Scrub	Alfisols 1
174	Scrub	Alfisols 1
175	Scrub	Alfisols 1
176	Scrub	Alfisols 1
177	Scrub	Alfisols 1
178	Scrub	Inceptisols
179	Scrub	Inceptisols
180	Scrub	Inceptisols
181	Scrub	Inceptisols
182	Scrub	Alfisols 2
183	Scrub	Alfisols 2
184	Scrub	Alfisols 2
185	Scrub	Alfisols 2
186	Scrub	Alfisols 2
187	Scrub	Alfisols 2
188	Scrub	Alfisols 2
189	Scrub	Alfisols 2
190	Scrub	Alfisols 1
191	Scrub	Alfisols 1
192	Scrub	Entisols
193	Scrub	Entisols
194	Scrub	Entisols
195	Scrub	Alfisols 1
196	Scrub	Alfisols 1
197	Scrub	Alfisols 1
198	PaddyR	Alfisols 1
199	Scrub	Alfisols 1
200	Scrub	Alfisols 1
201	PaddyK	Alfisols 1
202	Scrub	Alfisols 1
203	Scrub	Alfisols 1
204	Scrub	Alfisols 1
205	PaddyR	Alfisols 1
206	Scrub	Alfisols 1
207	Scrub	Inceptisols
208	Scrub	Inceptisols
209	Scrub	Inceptisols
210	Scrub	Alfisols 1
211	Scrub	Alfisols 2
212	Scrub	Alfisols 2
213	Scrub	Alfisols 2
214	Scrub	Entisols
215	Scrub	Alfisols 2
216	Scrub	Alfisols 2
217	Scrub	Alfisols 2
218	Scrub	Alfisols 2
219	Scrub	Alfisols 1
220	Scrub	Alfisols 1
221	Scrub	Alfisols 1
222	Scrub	Alfisols 1
223	Scrub	Alfisols 1
224	Scrub	Alfisols 1
225	Scrub	Alfisols 1
226	Scrub	Entisols
227	PaddyK	Alfisols 1
228	Scrub	Alfisols 1
229	Scrub	Alfisols 1
230	Scrub	Alfisols 1
