Date	PET_mm	Rainfall_mm
2010-01-01	3	0
2010-01-02	4.4	0
2010-01-03	3.3	0
2010-01-04	3.7	0
2010-01-05	4	0
2010-01-06	3.8	0
2010-01-07	3.8	0
2010-01-08	4.3	0
2010-01-09	3.5	0
2010-01-10	3.2	0
2010-01-11	3.4	0
2010-01-12	2.6	0
2010-01-13	2.8	0
2010-01-14	1	39
2010-01-15	1.6	0
2010-01-16	2.4	0
2010-01-17	3.6	0
2010-01-18	3.6	0
2010-01-19	3	0
2010-01-20	4.3	0
2010-01-21	5	0
2010-01-22	3.8	0
2010-01-23	4.1	0
2010-01-24	4.1	0
2010-01-25	4.1	0
2010-01-26	4.1	0
2010-01-27	4.1	0
2010-01-28	4.1	0
2010-01-29	4.1	0
2010-01-30	4.1	0
2010-01-31	5.2	0
2010-02-01	5	0
2010-02-02	5.2	0
2010-02-03	5.5	0
2010-02-04	6	0
2010-02-05	7.2	0
2010-02-06	5.8	0
2010-02-07	4.3	0
2010-02-08	4.4	0
2010-02-09	4.5	0
2010-02-10	6.6	0
2010-02-11	6.6	0
2010-02-12	6.6	0
2010-02-13	6.8	0
2010-02-14	7.8	0
2010-02-15	6	0
2010-02-16	7.6	0
2010-02-17	5.8	0
2010-02-18	5	1.6
2010-02-19	5.2	0
2010-02-20	5	0.6
2010-02-21	5.2	0
2010-02-22	5.4	0
2010-02-23	6.2	0.5
2010-02-24	5.4	0.3
2010-02-25	6.6	0
2010-02-26	6	0
2010-02-27	5.6	0
2010-02-28	6.8	0
2010-03-01	7.8	0
2010-03-02	7.3	0
2010-03-03	7.4	0
2010-03-04	7	0
2010-03-05	7.7	0
2010-03-06	7.6	0
2010-03-07	7.9	0
2010-03-08	9.5	0
2010-03-09	8	0
2010-03-10	8	0
2010-03-11	6.8	0
2010-03-12	6.8	0
2010-03-13	9.1	0
2010-03-14	5.7	0
2010-03-15	7.6	0
2010-03-16	6.7	0
2010-03-17	6.5	0
2010-03-18	8.6	0
2010-03-19	7.2	0
2010-03-20	7.9	0
2010-03-21	9.3	0
2010-03-22	7.8	0
2010-03-23	8.6	0
2010-03-24	8	0
2010-03-25	9	0
2010-03-26	9	0
2010-03-27	8.5	0
2010-03-28	7.1	0
2010-03-29	7.4	0
2010-03-30	8.3	0
2010-03-31	7	0
2010-04-01	9.1	0
2010-04-02	9.2	0
2010-04-03	9.8	0
2010-04-04	10.7	0
2010-04-05	9.3	0
2010-04-06	8.5	0
2010-04-07	10.6	0
2010-04-08	10.4	0
2010-04-09	9	0
2010-04-10	7.5	0
2010-04-11	10.6	0
2010-04-12	10.9	0
2010-04-13	10	0
2010-04-14	10.3	0
2010-04-15	11.4	0
2010-04-16	9.6	0
2010-04-17	9.4	0
2010-04-18	9.9	0
2010-04-19	10.4	0
2010-04-20	13	0
2010-04-21	12.6	0
2010-04-22	13	0
2010-04-23	11.2	0
2010-04-24	12.4	0
2010-04-25	12.1	0
2010-04-26	12.7	0
2010-04-27	10.2	0
2010-04-28	10.5	0
2010-04-29	10.5	0
2010-04-30	8.3	5.4
