X	Y	Cell number
226495.4323	1892660.125	3
226495.4323	1893342.982	16
227182.0989	1893342.982	17
225122.0989	1894025.839	27
225808.7656	1894025.839	28
226495.4323	1894025.839	29
227182.0989	1894025.839	30
227868.7656	1894025.839	31
228555.4323	1894025.839	32
229928.7656	1894025.839	34
224435.4323	1894708.696	39
225122.0989	1894708.696	40
225808.7656	1894708.696	41
226495.4323	1894708.696	42
227182.0989	1894708.696	43
227868.7656	1894708.696	44
228555.4323	1894708.696	45
229242.0989	1894708.696	46
229928.7656	1894708.696	47
230615.4323	1894708.696	48
231302.0989	1894708.696	49
224435.4323	1895391.554	52
225122.0989	1895391.554	53
225808.7656	1895391.554	54
226495.4323	1895391.554	55
227182.0989	1895391.554	56
227868.7656	1895391.554	57
228555.4323	1895391.554	58
229242.0989	1895391.554	59
229928.7656	1895391.554	60
230615.4323	1895391.554	61
231302.0989	1895391.554	62
224435.4323	1896074.411	65
225122.0989	1896074.411	66
225808.7656	1896074.411	67
226495.4323	1896074.411	68
227182.0989	1896074.411	69
227868.7656	1896074.411	70
228555.4323	1896074.411	71
229242.0989	1896074.411	72
229928.7656	1896074.411	73
230615.4323	1896074.411	74
231302.0989	1896074.411	75
225122.0989	1896757.268	79
225808.7656	1896757.268	80
226495.4323	1896757.268	81
227182.0989	1896757.268	82
227868.7656	1896757.268	83
228555.4323	1896757.268	84
229242.0989	1896757.268	85
229928.7656	1896757.268	86
230615.4323	1896757.268	87
231302.0989	1896757.268	88
224435.4323	1897440.125	91
225122.0989	1897440.125	92
225808.7656	1897440.125	93
226495.4323	1897440.125	94
227182.0989	1897440.125	95
227868.7656	1897440.125	96
228555.4323	1897440.125	97
229242.0989	1897440.125	98
229928.7656	1897440.125	99
230615.4323	1897440.125	100
231302.0989	1897440.125	101
231988.7656	1897440.125	102
224435.4323	1898122.982	104
225122.0989	1898122.982	105
225808.7656	1898122.982	106
226495.4323	1898122.982	107
227182.0989	1898122.982	108
227868.7656	1898122.982	109
228555.4323	1898122.982	110
229242.0989	1898122.982	111
229928.7656	1898122.982	112
230615.4323	1898122.982	113
231302.0989	1898122.982	114
224435.4323	1898805.839	117
225122.0989	1898805.839	118
225808.7656	1898805.839	119
226495.4323	1898805.839	120
227182.0989	1898805.839	121
227868.7656	1898805.839	122
228555.4323	1898805.839	123
229242.0989	1898805.839	124
229928.7656	1898805.839	125
230615.4323	1898805.839	126
231302.0989	1898805.839	127
225122.0989	1899488.696	131
225808.7656	1899488.696	132
226495.4323	1899488.696	133
227182.0989	1899488.696	134
227868.7656	1899488.696	135
228555.4323	1899488.696	136
229242.0989	1899488.696	137
229928.7656	1899488.696	138
230615.4323	1899488.696	139
231302.0989	1899488.696	140
225122.0989	1900171.554	144
225808.7656	1900171.554	145
226495.4323	1900171.554	146
227182.0989	1900171.554	147
227868.7656	1900171.554	148
228555.4323	1900171.554	149
229242.0989	1900171.554	150
229928.7656	1900171.554	151
230615.4323	1900171.554	152
231302.0989	1900171.554	153
228555.4323	1900854.411	162
229242.0989	1900854.411	163
229928.7656	1900854.411	164
230615.4323	1900854.411	165
229242.0989	1901537.268	176
229928.7656	1901537.268	177
230615.4323	1901537.268	178
