FID	X	Y
0	226334.7989	1892665.101
1	226434.7989	1892665.101
2	226534.7989	1892665.101
3	226434.7989	1892765.101
4	226534.7989	1892765.101
5	226634.7989	1892765.101
6	226734.7989	1892765.101
7	226834.7989	1892765.101
8	226934.7989	1892765.101
9	227034.7989	1892765.101
10	227134.7989	1892765.101
11	226434.7989	1892865.101
12	226534.7989	1892865.101
13	226634.7989	1892865.101
14	226734.7989	1892865.101
15	226834.7989	1892865.101
16	226934.7989	1892865.101
17	227034.7989	1892865.101
18	227134.7989	1892865.101
19	227234.7989	1892865.101
20	227334.7989	1892865.101
21	227634.7989	1892865.101
22	226434.7989	1892965.101
23	226534.7989	1892965.101
24	226634.7989	1892965.101
25	226734.7989	1892965.101
26	226834.7989	1892965.101
27	226934.7989	1892965.101
28	227034.7989	1892965.101
29	227134.7989	1892965.101
30	227234.7989	1892965.101
31	227334.7989	1892965.101
32	227434.7989	1892965.101
33	227534.7989	1892965.101
34	227634.7989	1892965.101
35	227734.7989	1892965.101
36	227834.7989	1892965.101
37	227934.7989	1892965.101
38	226334.7989	1893065.101
39	226434.7989	1893065.101
40	226534.7989	1893065.101
41	226634.7989	1893065.101
42	226734.7989	1893065.101
43	226834.7989	1893065.101
44	226934.7989	1893065.101
45	227034.7989	1893065.101
46	227134.7989	1893065.101
47	227234.7989	1893065.101
48	227334.7989	1893065.101
49	227434.7989	1893065.101
50	227534.7989	1893065.101
51	227634.7989	1893065.101
52	227734.7989	1893065.101
53	227834.7989	1893065.101
54	226334.7989	1893165.101
55	226434.7989	1893165.101
56	226534.7989	1893165.101
57	226634.7989	1893165.101
58	226734.7989	1893165.101
59	226834.7989	1893165.101
60	226934.7989	1893165.101
61	227034.7989	1893165.101
62	227134.7989	1893165.101
63	227234.7989	1893165.101
64	227334.7989	1893165.101
65	227434.7989	1893165.101
66	227534.7989	1893165.101
67	227634.7989	1893165.101
68	227734.7989	1893165.101
69	226334.7989	1893265.101
70	226434.7989	1893265.101
71	226534.7989	1893265.101
72	226634.7989	1893265.101
73	226734.7989	1893265.101
74	226834.7989	1893265.101
75	226934.7989	1893265.101
76	227034.7989	1893265.101
77	227134.7989	1893265.101
78	227234.7989	1893265.101
79	227334.7989	1893265.101
80	227434.7989	1893265.101
81	227534.7989	1893265.101
82	227634.7989	1893265.101
83	227734.7989	1893265.101
84	226334.7989	1893365.101
85	226434.7989	1893365.101
86	226534.7989	1893365.101
87	226634.7989	1893365.101
88	226734.7989	1893365.101
89	226834.7989	1893365.101
90	226934.7989	1893365.101
91	227034.7989	1893365.101
92	227134.7989	1893365.101
93	227234.7989	1893365.101
94	227334.7989	1893365.101
95	227434.7989	1893365.101
96	227534.7989	1893365.101
97	227634.7989	1893365.101
98	227734.7989	1893365.101
99	227834.7989	1893365.101
100	226234.7989	1893465.101
101	226334.7989	1893465.101
102	226434.7989	1893465.101
103	226534.7989	1893465.101
104	226634.7989	1893465.101
105	226734.7989	1893465.101
106	226834.7989	1893465.101
107	226934.7989	1893465.101
108	227034.7989	1893465.101
109	227134.7989	1893465.101
110	227234.7989	1893465.101
111	227334.7989	1893465.101
112	227434.7989	1893465.101
113	227534.7989	1893465.101
114	227634.7989	1893465.101
115	227734.7989	1893465.101
116	227834.7989	1893465.101
117	226034.7989	1893565.101
118	226134.7989	1893565.101
119	226234.7989	1893565.101
120	226334.7989	1893565.101
121	226434.7989	1893565.101
122	226534.7989	1893565.101
123	226634.7989	1893565.101
124	226734.7989	1893565.101
125	226834.7989	1893565.101
126	226934.7989	1893565.101
127	227034.7989	1893565.101
128	227134.7989	1893565.101
129	227234.7989	1893565.101
130	227334.7989	1893565.101
131	227434.7989	1893565.101
132	227534.7989	1893565.101
133	227634.7989	1893565.101
134	227734.7989	1893565.101
135	226034.7989	1893665.101
136	226134.7989	1893665.101
137	226234.7989	1893665.101
138	226334.7989	1893665.101
139	226434.7989	1893665.101
140	226534.7989	1893665.101
141	226634.7989	1893665.101
142	226734.7989	1893665.101
