CellNum	Err
3	76.8
4	nan
5	nan
14	nan
15	nan
16	66.4
17	23.9
18	nan
26	nan
27	81.1
28	86.5
29	69.4
30	51.4
31	41.4
32	35.9
33	nan
34	43.2
35	nan
39	65.7
40	76.2
41	80.2
42	64.1
43	45.3
44	38.6
45	17.3
46	58.7
47	67.1
48	53.2
49	67.6
52	93.0
53	80.7
54	65.5
55	37.9
56	30.0
57	33.2
58	35.5
59	45.4
60	74.2
61	37.4
62	44.9
65	81.3
66	90.3
67	67.1
68	66.7
69	42.5
70	63.3
71	45.4
72	28.3
73	53.6
74	36.2
75	29.9
76	nan
78	nan
79	32.4
80	55.0
81	63.3
82	55.6
83	51.6
84	24.5
85	33.6
86	49.1
87	47.1
88	46.8
89	nan
91	74.3
92	29.9
93	18.6
94	47.1
95	52.1
96	38.2
97	46.2
98	36.4
99	44.1
100	38.0
101	58.2
102	81.9
104	76.8
105	35.3
106	54.2
107	219.4
108	65.5
109	41.0
110	70.4
111	50.7
112	25.1
113	75.5
114	90.3
115	nan
117	64.0
118	75.9
119	104.0
120	57.2
121	55.1
122	48.5
123	20.2
124	37.6
125	28.0
126	43.2
127	33.5
128	nan
130	nan
131	75.7
132	79.6
133	33.3
134	51.5
135	57.4
136	31.1
137	27.9
138	26.1
139	25.8
140	50.6
141	nan
143	nan
144	72.9
145	69.4
146	62.3
147	27.6
148	58.2
149	104.4
150	113.5
151	68.6
152	31.1
153	54.3
157	nan
158	nan
159	nan
160	nan
161	nan
162	85.1
163	72.8
164	28.8
165	19.8
166	nan
175	nan
176	47.4
177	52.7
178	67.1
179	nan
