Date	Nday	CH01	CH02	CH03	CH15	CH18
2016-07-05	0	349.1	349.2	347.2	347.3	#N/A
2016-07-06	1	349.2	349.3	347.3	347.4	#N/A
2016-07-07	2	349.3	349.4	347.3	347.4	#N/A
2016-07-08	3	349.3	349.4	347.3	347.4	#N/A
2016-07-09	4	349.3	349.4	347.4	347.5	#N/A
2016-07-10	5	349.3	349.4	347.4	347.5	#N/A
2016-07-11	6	349.2	349.4	347.4	347.5	#N/A
2016-07-12	7	349.2	349.3	347.5	347.6	#N/A
2016-07-13	8	349.1	349.2	347.5	347.6	#N/A
2016-07-14	9	349.2	348.7	347.5	347.6	344.6
2016-07-15	10	349.2	348.2	347.5	347.6	344.6
2016-07-16	11	349.1	348.2	347.4	347.6	344.6
2016-07-17	12	349.1	348.3	347.4	347.6	344.6
2016-07-18	13	349.0	348.2	347.4	347.6	344.6
2016-07-19	14	349.0	348.2	347.4	347.6	344.6
2016-07-20	15	349.0	348.1	347.4	347.6	344.5
2016-07-21	16	348.8	348.2	347.4	347.6	344.5
2016-07-22	17	348.7	348.8	347.4	347.6	344.5
2016-07-23	18	348.6	348.8	347.4	347.6	344.6
2016-07-24	19	348.6	348.8	347.4	347.6	344.5
2016-07-25	20	348.5	348.7	347.4	347.5	344.5
2016-07-26	21	348.5	348.7	347.4	347.5	344.6
2016-07-27	22	348.5	348.6	347.4	347.5	344.6
2016-07-28	23	348.5	348.7	347.4	347.5	344.5
2016-07-29	24	348.7	348.9	347.4	347.5	344.5
2016-07-30	25	349.0	349.1	347.4	347.5	344.6
2016-07-31	26	349.2	349.4	347.4	347.6	344.6
2016-08-01	27	349.4	349.5	347.5	347.6	344.6
2016-08-02	28	349.5	349.6	347.5	347.6	344.7
2016-08-03	29	349.5	349.7	347.5	347.7	344.6
2016-08-04	30	349.5	349.7	347.5	347.7	344.7
2016-08-05	31	349.5	349.7	347.6	347.7	344.8
2016-08-06	32	349.5	349.7	347.6	347.7	344.8
2016-08-07	33	349.6	349.7	347.6	347.7	344.8
2016-08-08	34	349.9	350.1	347.6	347.8	344.8
2016-08-09	35	350.2	350.4	347.7	347.8	344.8
2016-08-10	36	350.4	350.6	347.7	347.8	344.7
2016-08-11	37	350.5	350.7	347.7	347.9	344.7
2016-08-12	38	350.6	350.8	347.8	347.9	344.8
2016-08-13	39	350.7	350.8	347.8	348.0	344.8
2016-08-14	40	350.6	350.8	347.9	348.0	344.8
2016-08-15	41	350.5	350.7	347.9	348.0	344.9
2016-08-16	42	350.5	350.7	347.9	348.0	344.8
2016-08-17	43	350.4	350.6	347.9	348.0	344.8
2016-08-18	44	350.4	350.6	347.9	348.0	344.9
2016-08-19	45	350.3	350.6	347.9	348.1	344.9
2016-08-20	46	350.3	350.5	347.9	348.1	344.9
2016-08-21	47	350.2	350.5	347.9	348.1	344.8
2016-08-22	48	350.2	350.4	347.9	348.1	344.9
2016-08-23	49	350.1	350.4	347.9	348.1	344.9
2016-08-24	50	350.1	350.3	347.9	348.1	344.9
2016-08-25	51	350.0	350.2	347.9	348.1	344.9
2016-08-26	52	350.0	350.2	347.9	348.1	344.9
2016-08-27	53	349.9	350.1	347.9	348.1	345.0
2016-08-28	54	349.9	350.1	347.9	348.1	344.9
2016-08-29	55	350.3	350.5	347.9	348.1	344.9
2016-08-30	56	351.0	351.1	347.9	348.1	344.9
2016-08-31	57	352.2	352.4	347.9	348.1	344.9
2016-09-01	58	353.4	353.9	348.0	348.2	
2016-09-02	59	354.7	355.1	347.9	348.2	345.3
2016-09-03	60	355.9	356.2	347.9	348.3	345.2
2016-09-04	61	356.9	357.7	348.0	348.4	345.2
2016-09-05	62	357.9	359.0	348.2	348.6	345.2
2016-09-06	63	358.5	359.7	348.3	348.7	345.3
2016-09-07	64	358.8	359.9	348.4	348.9	345.5
2016-09-08	65	358.9	359.9	348.6	349.0	345.7
2016-09-09	66	358.9	359.7	348.7	349.2	345.9
2016-09-10	67	358.8	359.5	348.8	349.3	346.1
2016-09-11	68	358.7	359.3	348.9	349.4	346.2
2016-09-12	69	358.6	359.2	349.0	349.6	346.4
2016-09-13	70	358.8	359.4	349.1	349.7	346.5
2016-09-14	71	359.4	360.0	349.3	349.8	347.5
2016-09-15	72	360.1	361.0	349.4	350.0	347.1
2016-09-16	73	361.0	361.9	349.4	350.1	347.4
2016-09-17	74	361.7	362.5	349.5	350.3	347.4
2016-09-18	75	362.2	363.0	349.6	350.5	347.6
2016-09-19	76	362.7	363.4	349.8	350.8	347.9
2016-09-20	77	363.1	363.7	349.8	351.0	348.4
2016-09-21	78	363.5	364.1	350.0	351.3	349.2
2016-09-22	79	364.3	364.5	350.5	351.8	350.0
2016-09-23	80	364.6	364.9	351.1	352.5	350.7
2016-09-24	81	364.7	365.0	351.7	353.1	351.3
2016-09-25	82	364.7	365.0	352.2	353.6	351.9
2016-09-26	83	364.7	365.0	352.7	354.0	352.5
2016-09-27	84	364.7	365.0	353.0	354.4	352.9
2016-09-28	85	364.7	365.0	#N/A	354.8	353.3
2016-09-29	86	364.6	364.9	#N/A	355.2	353.7
2016-09-30	87	364.6	364.8	#N/A	355.4	354.0
2016-10-01	88	364.6	364.8	#N/A	355.7	354.2
2016-10-02	89	364.7	364.8	#N/A	355.9	354.5
2016-10-03	90	364.7	364.8	#N/A	356.2	354.8
2016-10-04	91	364.6	364.7	355.5	356.4	355.0
2016-10-05	92	364.5	364.6	355.6	356.6	355.2
2016-10-06	93	364.4	364.5	355.8	356.8	355.4
2016-10-07	94	364.3	364.4	356.1	357.0	355.6
2016-10-08	95	364.3	364.4	356.2	357.2	355.8
2016-10-09	96	364.2	364.3	356.4	357.3	356.0
2016-10-10	97	364.3	364.4	356.6	357.4	356.2
2016-10-11	98	364.4	364.6	356.7	357.6	356.3
2016-10-12	99	364.5	364.7	356.9	357.7	356.4
2016-10-13	100	364.6	364.8	357.0	357.8	356.6
2016-10-14	101	364.6	364.8	357.1	357.9	356.7
2016-10-15	102	364.7	365.0	357.3	358.0	356.8
2016-10-16	103	364.9	365.2	357.4	358.1	356.9
2016-10-17	104	364.9	365.4	357.5	358.2	357.0
2016-10-18	105	365.0	365.4	357.6	358.3	357.1
2016-10-19	106	365.0	365.4	357.7	358.4	357.2
2016-10-20	107	365.0	365.4	357.8	358.5	357.3
2016-10-21	108	365.0	365.4	358.0	358.6	357.5
2016-10-22	109	365.0	365.4	358.1	358.8	357.6
2016-10-23	110	365.0	365.4	358.2	358.9	357.7
2016-10-24	111	365.0	365.4	358.3	359.0	357.8
2016-10-25	112	365.0	365.5	358.4	359.0	357.9
2016-10-26	113	365.0	365.5	358.4	359.1	358.0
2016-10-27	114	365.0	365.5	358.4	359.1	358.0
2016-10-28	115	365.0	365.4	358.5	359.2	358.1
2016-10-29	116	364.9	365.4	358.5	359.2	358.1
2016-10-30	117	364.9	365.3	358.6	359.2	358.1
2016-10-31	118	364.9	365.4	358.6	359.2	358.1
2016-11-01	119	365.0	365.4	358.5	359.3	358.1
2016-11-02	120	365.0	365.2	358.5	359.3	358.2
2016-11-03	121	365.0	365.2	358.5	359.4	358.2
2016-11-04	122	365.0	365.1	358.5	359.4	358.2
2016-11-05	123	364.9	365.1	358.6	359.4	358.2
2016-11-06	124	364.9	365.0	358.6	359.4	358.2
2016-11-07	125	364.8	365.0	358.5	359.4	358.2
2016-11-08	126	364.8	364.9	358.6	359.4	358.2
2016-11-09	127	364.8	364.9	358.6	359.4	358.2
2016-11-10	128	364.8	364.9	358.6	359.4	358.2
2016-11-11	129	364.7	364.8	358.6	359.4	358.2
2016-11-12	130	364.7	364.8	358.6	359.4	358.2
2016-11-13	131	364.7	364.8	358.6	359.4	358.2
2016-11-14	132	364.7	364.7	358.6	359.4	358.2
2016-11-15	133	364.7	364.7	358.6	359.4	358.2
2016-11-16	134	364.7	364.7	358.6	359.4	358.2
2016-11-17	135	364.6	364.6	358.6	359.4	358.2
2016-11-18	136	364.5	364.5	358.6	359.4	358.2
2016-11-19	137	364.5	364.4	358.6	359.4	358.2
2016-11-20	138	364.4	364.3	358.6	359.4	358.2
2016-11-21	139	364.3	364.3	358.6	359.4	358.2
2016-11-22	140	364.3	364.2	358.6	359.4	358.2
2016-11-23	141	364.2	364.1	358.6	359.4	358.2
2016-11-24	142	364.2	364.0	358.6	#N/A	358.1
2016-11-25	143	364.1	364.0	358.6	#N/A	358.1
2016-11-26	144	364.1	363.9	358.6	#N/A	358.1
2016-11-27	145	364.0	363.9	358.6	#N/A	358.1
2016-11-28	146	363.9	363.8	358.6	#N/A	358.1
2016-11-29	147	363.9	363.7	358.6	#N/A	358.1
2016-11-30	148	363.8	363.7	358.6	#N/A	358.1
2016-12-01	149	363.8	363.7	358.6	#N/A	358.0
2016-12-02	150	363.7	363.6	358.6	#N/A	358.0
2016-12-03	151	363.6	363.6	358.5	#N/A	358.0
2016-12-04	152	363.6	363.5	358.5	#N/A	358.0
2016-12-05	153	363.5	363.4	358.5	#N/A	358.0
2016-12-06	154	363.5	363.4	358.5	#N/A	358.0
2016-12-07	155	363.4	363.3	358.5	#N/A	358.0
2016-12-08	156	363.3	363.2	358.5	#N/A	358.0
2016-12-09	157	363.3	363.2	358.5	359.0	358.0
2016-12-10	158	363.1	363.1	358.4	359.0	357.9
2016-12-11	159	363.0	363.0	358.4	359.0	357.9
2016-12-12	160	362.9	362.9	358.4	359.0	357.9
2016-12-13	161	362.9	362.9	358.4	359.0	357.9
2016-12-14	162	362.8	362.8	358.4	358.9	357.9
2016-12-15	163	362.8	362.7	358.4	358.9	357.8
2016-12-16	164	362.7	362.6	358.4	358.9	357.8
2016-12-17	165	362.6	362.6	358.4	358.9	357.8
2016-12-18	166	362.6	362.5	358.3	358.9	357.8
2016-12-19	167	362.5	362.4	358.3	358.9	357.8
2016-12-20	168	362.5	362.4	358.3	358.8	357.8
2016-12-21	169	362.4	362.3	358.3	358.8	357.8
2016-12-22	170	362.3	362.3	358.3	358.8	357.8
2016-12-23	171	362.3	362.2	358.3	358.8	357.8
2016-12-24	172	362.2	362.1	358.3	358.8	357.8
2016-12-25	173	362.1	362.1	358.3	358.8	357.7
2016-12-26	174	362.1	362.0	358.2	358.7	357.7
2016-12-27	175	362.0	361.9	358.2	358.7	357.7
2016-12-28	176	362.0	361.9	358.2	358.7	357.7
2016-12-29	177	361.9	361.8	358.2	358.7	357.6
2016-12-30	178	361.9	361.8	358.2	358.6	357.6
2016-12-31	179	361.8	361.7	358.1	358.6	357.6
2017-01-01	180	361.8	361.7	358.1	358.6	357.6
2017-01-02	181	361.7	361.6	358.1	358.6	357.6
2017-01-03	182	361.7	361.6	358.1	358.6	357.6
2017-01-04	183	361.6	361.5	358.1	358.5	357.6
2017-01-05	184	361.6	361.5	358.1	358.5	357.5
2017-01-06	185	361.5	361.4	358.0	358.5	357.5
2017-01-07	186	361.6	361.5	358.0	358.5	357.5
2017-01-08	187	361.8	361.7	358.0	358.5	357.5
2017-01-09	188	362.2	362.1	358.0	358.5	357.5
2017-01-10	189	362.4	362.4	358.0	358.5	357.5
2017-01-11	190	362.6	362.5	358.0	358.5	357.5
2017-01-12	191	362.7	#N/A	#N/A	358.4	357.5
2017-01-13	192	362.9	#N/A	#N/A	358.4	357.5
2017-01-14	193	363.1	#N/A	#N/A	358.4	357.4
2017-01-15	194	363.3	#N/A	#N/A	358.4	357.4
2017-01-16	195	363.5	#N/A	#N/A	358.4	357.4
2017-01-17	196	363.6	362.8	#N/A	358.4	357.4
2017-01-18	197	363.7	362.8	#N/A	358.4	357.4
2017-01-19	198	363.7	362.9	#N/A	358.4	357.4
2017-01-20	199	363.8	362.8	#N/A	358.4	357.4
2017-01-21	200	363.7	362.8	#N/A	358.4	357.4
2017-01-22	201	363.7	362.7	#N/A	358.4	357.4
2017-01-23	202	363.6	362.6	#N/A	358.4	357.4
2017-01-24	203	363.5	362.5	#N/A	358.4	357.4
2017-01-25	204	363.4	362.5	#N/A	358.4	357.4
2017-01-26	205	363.4	362.4	#N/A	358.4	357.4
2017-01-27	206	363.3	362.4	#N/A	358.4	357.4
2017-01-28	207	363.2	362.4	#N/A	358.4	357.4
2017-01-29	208	363.1	362.4	#N/A	358.4	357.4
2017-01-30	209	363.0	362.4	#N/A	358.4	357.3
2017-01-31	210	363.0	362.4	#N/A	358.4	357.3
2017-02-01	211	362.9	362.4	#N/A	358.4	357.3
2017-02-02	212	362.7	362.4	#N/A	358.3	357.3
2017-02-03	213	362.7	362.4	#N/A	358.3	357.2
2017-02-04	214	362.6	362.3	#N/A	358.3	357.2
2017-02-05	215	362.5	362.2	#N/A	358.3	357.2
2017-02-06	216	362.4	362.2	#N/A	358.3	357.2
2017-02-07	217	362.3	362.1	#N/A	358.2	357.2
2017-02-08	218	362.2	362.0	357.7	358.2	357.2
2017-02-09	219	362.1	361.9	357.7	358.2	357.1
2017-02-10	220	362.0	361.9	357.6	358.2	357.1
2017-02-11	221	361.9	361.8	357.6	358.1	357.1
2017-02-12	222	361.8	361.7	357.6	358.1	357.0
2017-02-13	223	361.8	361.6	357.5	358.1	357.0
2017-02-14	224	361.7	361.5	357.5	358.0	356.9
2017-02-15	225	361.6	361.4	357.4	358.0	356.9
2017-02-16	226	361.5	361.4	357.4	357.9	356.9
2017-02-17	227	361.5	361.3	357.4	357.9	356.8
2017-02-18	228	361.4	361.2	357.3	357.8	356.8
2017-02-19	229	361.3	361.1	357.3	357.8	356.7
2017-02-20	230	361.3	361.1	357.2	357.8	356.7
2017-02-21	231	361.2	361.0	357.2	357.7	356.6
2017-02-22	232	361.1	360.9	357.1	357.7	356.5
2017-02-23	233	361.1	360.9	357.1	357.6	356.5
2017-02-24	234	361.0	360.8	357.0	357.5	356.4
2017-02-25	235	360.9	360.8	357.0	357.5	356.4
2017-02-26	236	360.9	360.7	356.9	357.4	356.3
2017-02-27	237	360.8	360.7	356.9	357.4	356.2
2017-02-28	238	360.8	360.6	356.8	357.3	356.2
2017-03-01	239	360.7	360.5	356.8	357.3	356.1
2017-03-02	240	360.7	360.5	356.7	357.3	356.1
2017-03-03	241	360.6	360.4	356.7	357.2	356.0
2017-03-04	242	360.6	360.4	356.6	357.2	356.0
2017-03-05	243	360.5	360.3	356.6	357.1	355.9
2017-03-06	244	360.45	360.3	356.51	357.05	355.88
2017-03-07	245	360.41	360.2	356.46	357.00	355.82
2017-03-08	246	360.39	360.2	356.48	357.01	355.85
2017-03-09	247	360.38	360.1	356.47	357.01	355.85
2017-03-10	248	360.33	360.1	356.42	356.96	355.79
2017-03-11	249	360.27	360.0	356.35	356.90	355.72
2017-03-12	250	360.22	360.0	356.30	356.84	355.67
2017-03-13	251	360.17	359.9	356.25	356.80	355.62
2017-03-14	252	360.12	359.9	356.20	356.75	355.57
2017-03-15	253	360.02	359.8	356.09	356.63	355.45
2017-03-16	254	359.92	359.8	355.95	356.51	355.33
2017-03-17	255	359.87	359.9	355.90	356.47	355.28
2017-03-18	256	359.82	360.0	355.83	356.41	355.22
2017-03-19	257	359.78	360.0	355.78	356.36	355.17
2017-03-20	258	359.73	360.1	355.72	356.31	355.11
2017-03-21	259	359.68	360.1	355.66	356.25	355.05
2017-03-22	260	359.64	360.1	355.61	356.20	355.00
2017-03-23	261	359.59	360.1	355.57	356.16	354.96
2017-03-24	262	359.54	360.1	355.52	356.11	354.91
2017-03-25	263	359.49	360.1	355.47	356.05	354.85
2017-03-26	264	359.46	360.1	355.41	356.00	354.80
2017-03-27	265	359.41	360.2	355.37	355.96	354.76
2017-03-28	266	359.38	360.1	355.32	355.91	354.71
2017-03-29	267	359.32	359.8	355.27	355.86	354.67
2017-03-30	268	359.26	358.8	355.21	355.80	354.60
2017-03-31	269	359.23	358.8	355.15	355.75	354.55
2017-04-01	270	359.19	358.8	355.11	355.71	354.51
2017-04-02	271	359.15	358.8	355.06	355.66	354.45
2017-04-03	272	359.10	358.8	355.00	355.60	354.39
2017-04-04	273	359.04	358.8	354.95	355.54	354.33
2017-04-05	274	359.01	358.3	354.92	355.51	354.30
2017-04-06	275	358.97	358.0	354.84	355.46	354.25
2017-04-07	276	358.91	358.1	354.78	355.41	354.20
2017-04-08	277	358.88	358.3	354.74	355.37	354.15
2017-04-09	278	358.86	358.3	354.71	355.33	354.12
2017-04-10	279	358.81	358.4	354.68	355.30	354.09
2017-04-11	280	358.78	358.5	354.62	355.25	354.05
2017-04-12	281	358.76	358.7	354.58	355.21	354.02
2017-04-13	282	358.72	358.6	354.55	355.18	353.99
2017-04-14	283	358.68	358.6	354.52	355.15	353.97
2017-04-15	284	358.66	358.6	354.50	355.12	353.95
2017-04-16	285	358.62	358.6	354.47	355.09	353.92
2017-04-17	286	358.58	358.6	354.42	355.04	353.88
2017-04-18	287	358.54	358.5	354.37	355.00	353.84
2017-04-19	288	358.51	358.6	354.33	354.96	353.81
2017-04-20	289	358.48	358.6	354.30	354.93	353.78
2017-04-21	290	358.46	358.2	354.26	354.89	353.75
2017-04-22	291	358.50	358.1	354.23	354.87	353.72
2017-04-23	292	358.57	358.1	354.20	354.84	353.70
2017-04-24	293	358.57	358.2	354.18	354.81	353.67
2017-04-25	294	358.55	358.1	354.15	354.79	353.65
2017-04-26	295	358.51	358.1	354.13	354.76	353.63
2017-04-27	296	358.48	358.1	354.10	354.74	353.60
2017-04-28	297	358.79	358.4	354.08	354.72	353.59
2017-04-29	298	359.43	359.0	354.07	354.71	353.57
2017-04-30	299	359.86	359.6	354.05	354.71	353.56
2017-05-01	300	360.11	359.8	354.04	354.71	353.55
2017-05-02	301	360.26	360.0	354.04	354.71	353.55
2017-05-03	302	360.35	360.1	354.04	354.73	353.55
2017-05-04	303	360.38	360.1	354.05	354.74	353.55
2017-05-05	304	360.36	360.1	354.06	354.75	353.56
2017-05-06	305	360.29	360.0	354.06	354.75	353.56
2017-05-07	306	360.19	359.9	354.05	354.76	353.56
2017-05-08	307	360.09	359.9	354.08	354.77	353.58
2017-05-09	308	359.97	359.8	354.05	354.77	353.58
2017-05-10	309	359.89	359.9	354.00	354.75	353.58
2017-05-11	310	359.82	359.9	354.02	354.76	353.59
2017-05-12	311	359.75	359.9	354.04	354.78	353.61
2017-05-13	312	359.69	360.0	354.05	354.79	353.63
2017-05-14	313	359.63	359.9	354.07	354.79	353.63
2017-05-15	314	359.57	359.9	354.06	354.79	353.63
2017-05-16	315	359.50	360.0	354.07	354.79	353.64
2017-05-17	316	359.44	360.0	354.05	354.78	353.62
2017-05-18	317	359.38	359.5	354.04	354.75	353.60
2017-05-19	318	359.31	359.2	354.03	354.73	353.57
2017-05-20	319	359.26	359.2	354.02	354.70	353.55
2017-05-21	320	359.20	359.2	353.99	354.67	353.52
2017-05-22	321	359.15	359.3	353.96	354.65	353.49
2017-05-23	322	359.09	358.9	353.95	354.63	353.48
2017-05-24	323	359.04	358.6	353.94	354.62	353.47
2017-05-25	324	358.99	358.6	353.92	354.60	353.45
2017-05-26	325	358.94	358.7	353.91	354.58	353.44
2017-05-27	326	358.89	358.8	353.89	354.56	353.42
2017-05-28	327	358.85	358.8	353.88	354.55	353.41
2017-05-29	328	358.80	358.7	353.88	354.54	353.41
2017-05-30	329	358.76	358.8	353.87	354.52	353.40
2017-05-31	330	358.69	358.8	353.85	354.49	353.37
2017-06-01	331	358.64	358.8	353.82	354.46	353.34
2017-06-02	332	358.59	358.8	353.80	354.43	353.32
2017-06-03	333	358.54	358.5	353.77	354.41	353.28
2017-06-04	334	358.49	358.4	353.74	354.37	353.25
2017-06-05	335	358.46	358.3	353.72	354.35	353.24
2017-06-06	336	358.42	358.3	353.68	354.32	353.20
2017-06-07	337	358.41	358.3	353.66	354.30	353.19
2017-06-08	338	358.41	358.3	353.64	354.31	353.19
2017-06-09	339	358.38	358.3	353.63	354.30	353.18
2017-06-10	340	358.39	358.2	353.62	354.30	353.18
2017-06-11	341	358.37	358.2	353.62	354.29	353.19
2017-06-12	342	358.36	358.2	353.63	354.30	353.20
2017-06-13	343	358.32	358.2	353.64	354.30	353.22
2017-06-14	344	358.30	358.2	353.66	354.30	353.24
2017-06-15	345	358.28	358.1	353.68	354.32	353.27
2017-06-16	346	358.26	358.1	353.70	354.34	353.31
2017-06-17	347	358.23	358.1	353.74	354.36	353.35
2017-06-18	348	358.21	358.1	353.77	354.39	353.38
2017-06-19	349	358.19	358.0	353.79	354.41	353.41
2017-06-20	350	358.15	358.0	353.81	354.42	353.44
2017-06-21	351	358.15	358.0	353.84	354.44	353.46
2017-06-22	352	358.13	358.0	353.86	354.45	353.48
2017-06-23	353	358.12	358.0	353.89	354.46	353.51
2017-06-24	354	358.11	358.0	353.92	354.49	353.55
2017-06-25	355	358.06	357.9	353.95	354.51	353.58
2017-06-26	356	358.07	357.9	353.97	354.51	353.60
2017-06-27	357	358.03	357.9	353.99	354.53	353.63
2017-06-28	358	358.02	357.9	354.01	354.55	353.66
2017-06-29	359	358.00	357.8	354.04	354.57	353.70
