Date	Nday	CH01	CH02	CH03	CH15	CH18
2016-07-05	0	349.08	349.18	347.24	347.32	#N/A
2016-07-06	1	349.20	349.31	347.26	347.35	#N/A
2016-07-07	2	349.28	349.39	347.29	347.38	#N/A
2016-07-08	3	349.31	349.43	347.33	347.43	#N/A
2016-07-09	4	349.30	349.43	347.38	347.47	#N/A
2016-07-10	5	349.27	349.40	347.42	347.51	#N/A
2016-07-11	6	349.22	349.36	347.45	347.55	#N/A
2016-07-12	7	349.16	349.30	347.46	347.56	#N/A
2016-07-13	8	349.11	349.25	347.47	347.58	#N/A
2016-07-14	9	349.15	348.70	#N/A	#N/A	#N/A
2016-07-15	10	349.18	348.23	347.45	347.61	344.60
2016-07-16	11	349.15	348.24	347.45	347.61	344.56
2016-07-17	12	349.07	348.27	347.44	347.60	344.59
2016-07-18	13	349.02	348.22	347.44	347.60	344.57
2016-07-19	14	349.00	348.17	347.43	347.59	344.55
2016-07-20	15	348.98	348.13	347.44	347.60	344.54
2016-07-21	16	348.81	#N/A	347.43	347.59	344.53
2016-07-22	17	348.66	348.78	347.43	347.58	344.53
2016-07-23	18	348.62	348.82	347.42	347.57	344.58
2016-07-24	19	348.58	348.77	347.41	347.56	344.48
2016-07-25	20	348.53	348.72	347.40	347.54	344.50
2016-07-26	21	348.51	348.68	347.38	347.53	344.59
2016-07-27	22	348.49	348.65	347.39	347.53	344.58
2016-07-28	23	348.48	348.65	347.38	347.52	344.48
2016-07-29	24	348.71	348.86	347.38	347.52	344.51
2016-07-30	25	348.99	349.13	347.40	347.54	344.62
2016-07-31	26	349.21	349.35	347.43	347.56	344.60
2016-08-01	27	349.36	349.52	347.46	347.59	344.59
2016-08-02	28	349.47	349.63	347.50	347.63	344.66
2016-08-03	29	349.52	349.68	347.53	347.66	344.65
2016-08-04	30	349.53	349.69	347.55	347.69	344.69
2016-08-05	31	349.51	349.69	347.57	347.70	344.79
2016-08-06	32	349.45	349.65	347.58	347.72	344.82
