Cell number	Forest	Fruit	PaddyK	PaddyR	Scrub	Tank	Urban	Vegetable
3	0	0	9	9	79	0	0	3
4	0	11	0	0	88	0	0	1
5	0	0	0	0	100	0	0	0
14	0	0	0	0	100	0	0	0
15	0	0	0	0	100	0	0	0
16	0	0	24	16	59	0	0	1
17	0	1	3	3	91	1	0	0
18	0	0	0	0	100	0	0	0
26	0	0	0	0	100	0	0	0
27	0	0	0	0	100	0	0	0
28	0	0	4	0	96	0	0	0
29	0	0	1	1	95	0	0	3
30	0	0	10	10	73	0	0	7
31	0	0	3	3	87	0	0	7
32	0	0	0	0	75	0	0	25
33	0	0	0	0	100	0	0	0
34	0	0	0	0	100	0	0	0
35	0	0	0	0	100	0	0	0
39	0	0	5	5	86	0	5	0
40	0	0	0	0	99	0	0	0
41	0	0	32	0	61	0	0	6
42	0	0	18	0	74	2	0	6
43	0	0	10	0	86	1	1	3
44	0	3	0	0	92	0	1	5
45	0	0	0	0	98	0	0	2
46	0	0	1	1	95	0	0	3
47	0	0	9	9	80	0	0	1
48	0	0	0	0	92	0	0	8
49	0	0	0	0	100	0	0	0
52	0	0	3	3	91	1	2	0
53	0	0	29	9	44	14	4	0
54	0	0	2	0	79	2	0	17
55	0	0	28	4	67	0	1	0
56	0	0	43	6	46	0	1	4
57	0	0	16	8	75	0	0	1
58	0	5	0	0	81	0	0	14
59	0	2	20	5	69	0	0	5
60	0	0	30	10	36	0	21	3
61	0	3	0	0	86	0	0	11
62	0	0	0	0	81	0	3	16
65	0	3	4	4	70	1	0	18
66	0	0	60	16	24	0	0	0
67	0	0	42	10	43	0	0	5
68	0	0	38	17	35	0	9	1
69	0	0	33	8	3	0	53	3
70	0	2	18	4	62	0	0	14
71	0	11	0	0	75	0	0	13
72	0	7	18	3	69	0	0	2
73	0	0	50	6	40	0	0	4
74	0	1	7	0	92	0	0	0
75	0	4	0	0	88	0	0	8
76	0	0	0	0	100	0	0	0
78	0	2	11	7	63	0	0	17
79	0	0	22	2	69	7	0	1
80	0	0	75	9	13	3	0	0
81	0	0	34	6	53	0	4	3
82	0	0	68	10	8	1	13	0
83	0	0	7	1	91	0	0	1
84	0	4	3	1	92	0	1	0
85	0	0	21	0	70	0	0	9
86	0	0	61	7	32	0	1	0
87	0	0	24	3	72	0	0	0
88	0	5	8	8	70	0	0	8
89	0	1	0	0	31	0	0	68
91	0	0	8	8	84	0	0	0
92	0	0	1	1	97	0	0	1
93	0	0	19	2	78	2	0	0
94	0	0	91	4	3	0	1	1
95	0	0	45	2	43	0	2	9
96	4	0	0	0	90	0	4	2
97	59	0	2	0	40	0	0	0
98	10	0	29	5	49	0	0	7
99	0	3	31	0	66	0	0	0
100	0	0	0	0	90	0	0	10
101	0	0	0	0	40	0	0	60
102	0	0	0	0	41	0	0	59
104	0	0	4	4	91	0	0	0
105	0	0	6	6	87	0	0	1
106	0	0	8	5	83	0	0	4
107	0	0	64	9	27	0	0	0
108	0	2	17	6	54	0	3	18
109	1	0	0	0	89	0	5	6
110	74	0	0	0	26	0	0	0
111	37	0	32	2	25	3	0	0
112	0	0	4	0	96	0	0	0
113	0	0	3	3	68	1	10	14
114	0	16	3	3	38	4	0	36
115	0	39	0	0	43	0	0	18
117	0	0	0	0	100	0	0	0
118	0	0	1	1	97	0	0	2
119	0	0	6	0	94	0	0	0
120	0	0	38	14	46	0	3	0
121	0	0	76	10	11	0	4	0
122	0	0	52	12	31	0	2	3
123	16	0	1	1	75	0	2	5
124	21	0	10	2	40	0	0	27
125	0	0	0	0	100	0	0	0
126	0	0	41	33	27	0	0	0
127	0	13	4	4	59	1	4	13
128	0	23	0	0	44	0	0	33
130	0	0	0	0	100	0	0	0
131	31	0	0	0	69	0	0	0
132	35	0	0	0	54	0	0	11
133	11	0	0	0	75	0	0	14
134	0	0	6	3	82	0	0	9
135	0	0	46	13	41	0	0	0
136	0	0	17	5	62	7	7	3
137	0	9	0	0	65	0	15	11
138	0	0	0	0	97	0	3	0
139	0	0	0	0	96	0	4	0
140	0	0	0	0	56	0	30	14
141	0	0	0	0	22	0	43	35
143	100	0	0	0	0	0	0	0
144	100	0	0	0	0	0	0	0
145	100	0	0	0	0	0	0	0
146	45	0	4	4	35	0	0	12
147	0	0	2	2	93	0	0	2
148	15	0	1	1	84	0	0	0
149	22	0	50	2	15	1	0	10
150	0	30	13	2	51	0	1	3
151	0	13	0	0	66	0	5	15
152	0	21	0	0	70	0	9	1
153	0	0	0	0	30	0	70	0
157	100	0	0	0	0	0	0	0
158	100	0	0	0	0	0	0	0
159	32	0	0	0	68	0	0	0
160	0	0	0	0	100	0	0	0
161	19	0	0	0	81	0	0	0
162	74	9	16	0	0	0	0	1
163	2	7	49	2	37	0	0	3
164	0	0	0	0	68	0	0	31
165	0	0	0	0	62	0	0	38
166	0	23	0	0	61	0	0	16
175	100	0	0	0	0	0	0	0
176	20	0	20	0	0	0	0	60
177	0	0	18	0	72	0	0	11
178	0	0	0	0	84	0	12	5
179	0	0	0	0	49	0	0	51
