CellNum	ForestPer	FruitPer	PaddyKPer	PaddyRPer	ScrubPer	TankPer	UrbanPer	VegetablePer
3	0	0	0	16	84	0	0	0
4	0	14	0	1	81	0	0	5
5	0	0	0	0	100	0	0	0
14	0	0	0	0	100	0	0	0
15	0	0	0	0	100	0	0	0
16	0	0	9	17	73	0	0	1
17	0	0	0	3	94	2	0	1
18	0	0	0	0	100	0	0	0
26	0	0	0	0	100	0	0	0
27	0	0	0	0	100	0	0	0
28	0	0	5	0	95	0	0	0
29	0	0	1	1	95	0	0	3
30	0	0	0	13	77	6	0	4
31	0	0	0	3	88	0	0	9
32	0	0	0	0	97	0	0	3
33	0	0	0	0	95	0	0	5
34	0	0	0	0	100	0	0	0
35	0	0	0	0	100	0	0	0
39	0	0	0	6	87	0	7	0
40	0	0	0	0	98	2	0	0
41	0	0	26	0	64	1	0	8
42	0	0	14	0	80	0	0	7
43	0	0	22	0	71	4	1	3
44	0	3	0	0	92	0	1	5
45	0	0	0	0	98	0	0	2
46	0	0	0	1	97	0	0	3
47	0	0	0	9	85	3	1	3
48	0	0	0	2	92	0	0	6
49	0	0	0	0	95	0	0	5
52	0	0	0	3	88	2	2	4
53	0	0	25	11	56	8	0	0
54	0	0	3	0	77	6	0	14
55	0	0	18	2	80	0	0	0
56	0	0	37	9	35	10	3	6
57	0	0	23	10	67	0	0	1
58	0	5	0	0	82	0	0	13
59	0	2	16	5	70	0	0	8
60	0	0	27	11	58	2	0	2
61	0	3	3	0	88	0	3	3
62	0	0	0	0	70	0	1	29
65	0	5	0	0	66	1	0	28
66	0	0	42	22	35	0	0	1
67	0	0	34	10	50	1	0	5
68	0	0	43	19	32	0	4	1
69	0	0	9	9	16	0	65	1
70	0	0	31	7	51	0	1	10
71	0	8	0	0	75	0	0	17
72	0	12	3	3	80	0	0	1
73	0	0	55	6	38	0	0	2
74	0	0	11	2	84	0	0	3
75	0	5	0	1	88	0	0	6
76	0	0	0	0	100	0	0	0
78	0	1	0	6	85	0	0	8
79	0	0	10	2	84	2	0	2
80	0	0	64	5	24	7	0	0
81	0	0	42	10	44	0	2	3
82	0	0	63	8	17	0	12	0
83	0	0	20	6	73	0	0	1
84	0	3	0	1	95	0	1	0
85	0	0	22	0	69	0	0	9
86	0	0	58	6	35	0	1	0
87	0	0	24	3	74	0	0	0
88	0	4	0	10	82	0	0	5
89	0	13	0	0	18	0	0	69
91	0	0	0	7	93	0	0	0
92	0	0	0	3	97	0	0	1
93	0	0	6	1	90	3	0	0
94	0	0	82	4	14	0	0	0
95	0	0	47	1	39	0	3	10
96	0	0	6	0	88	0	4	3
97	55	0	0	0	45	0	0	0
98	27	0	10	2	53	0	0	7
99	0	2	45	3	49	1	0	0
100	0	1	0	0	91	0	0	8
101	0	0	0	0	48	0	0	52
102	0	0	0	0	42	0	0	58
104	0	0	0	4	96	0	0	0
105	0	0	0	11	88	0	0	1
106	0	0	1	5	92	0	0	3
107	0	0	58	10	31	0	0	2
108	0	2	24	9	49	0	0	16
109	0	0	1	0	91	0	0	8
110	51	0	0	0	49	0	0	0
111	58	0	28	2	3	9	0	0
112	0	0	4	0	68	28	0	0
113	0	0	0	3	86	0	4	7
114	0	8	0	6	41	7	2	36
115	0	37	0	0	39	0	5	19
117	3	0	0	0	97	0	0	0
118	1	0	0	1	97	0	0	2
119	0	0	0	0	100	0	0	0
120	0	0	21	10	69	0	0	0
121	0	0	61	14	25	0	0	0
122	0	0	64	14	18	0	0	4
123	4	0	2	4	87	0	2	0
124	29	0	7	1	28	0	0	35
125	0	0	0	1	97	0	0	2
126	0	0	12	30	58	0	0	0
127	0	9	0	21	61	0	3	6
128	0	19	0	0	35	0	5	41
130	100	0	0	0	0	0	0	0
131	46	0	0	0	54	0	0	0
132	43	0	0	0	48	0	0	9
133	22	0	0	0	63	0	0	15
134	0	0	0	0	89	0	0	11
135	0	0	29	15	50	6	0	0
136	0	0	15	6	18	59	0	2
137	0	7	4	1	59	0	22	7
138	0	3	0	0	93	0	3	0
139	0	0	0	0	100	0	0	0
140	0	0	0	0	61	0	33	6
141	0	0	0	0	18	0	55	28
143	100	0	0	0	0	0	0	0
144	100	0	0	0	0	0	0	0
145	100	0	0	0	0	0	0	0
146	65	0	0	3	22	0	0	10
147	0	0	0	4	93	0	0	3
148	4	0	0	1	95	0	0	0
149	38	0	34	1	17	4	0	6
150	0	18	26	3	44	0	0	8
151	0	21	0	0	60	0	5	13
152	0	24	0	0	68	0	1	7
153	0	27	0	0	9	0	59	5
157	100	0	0	0	0	0	0	0
158	100	0	0	0	0	0	0	0
159	46	0	0	0	54	0	0	0
160	0	0	0	0	100	0	0	0
161	0	0	0	0	100	0	0	0
162	75	2	5	0	18	0	0	0
163	10	12	53	1	22	0	0	1
164	0	0	5	0	71	0	0	24
165	0	1	0	0	59	0	0	40
166	0	49	0	0	24	0	0	27
175	99	0	0	0	1	0	0	0
176	35	0	6	0	0	0	0	59
177	0	0	30	0	51	0	0	19
178	0	0	0	0	89	0	11	0
179	0	0	0	0	11	0	1	87
