CellNumber	AWC	MWC
3	123.9	17.7
16	114.7	18.7
17	87.5	27.2
27	44.7	14.8
28	158.4	25.5
29	38.0	20.9
30	167.8	38.4
31	107.1	17.0
32	45.2	13.5
34	49.1	16.0
39	36.7	11.7
40	45.1	14.5
41	108.1	13.2
42	59.9	23.2
43	186.7	32.5
44	91.5	26.1
45	64.6	22.1
46	39.9	15.1
47	79.3	18.3
48	107.8	18.8
49	38.6	11.4
52	192.5	32.6
53	234.0	34.1
54	22.2	12.2
55	23.1	18.2
56	328.2	44.1
57	205.4	26.0
58	62.1	18.9
59	88.4	16.5
60	102.8	15.3
61	105.6	29.3
62	164.3	16.2
65	251.3	36.2
66	369.8	49.1
67	93.2	11.7
68	249.3	16.6
69	89.0	28.0
70	428.7	44.3
71	116.7	22.3
72	83.0	24.2
73	320.2	22.3
74	149.1	26.5
75	106.7	23.2
79	140.3	25.5
80	300.1	17.0
81	299.7	29.2
82	268.2	17.2
83	101.5	11.7
84	66.1	21.5
85	140.9	19.9
86	263.7	15.9
87	81.2	12.7
88	116.0	18.4
91	180.1	30.0
92	99.5	30.9
93	81.7	22.1
94	520.8	46.6
95	362.4	39.7
96	86.3	16.8
97	74.0	26.0
98	82.1	23.9
99	168.0	15.1
100	85.7	18.6
101	279.1	13.3
102	207.1	7.5
104	54.4	17.0
105	124.7	36.1
106	32.5	19.7
107	#N/A	#N/A
108	154.7	18.3
109	78.1	18.6
110	73.0	24.0
111	110.3	18.3
112	79.6	20.9
113	195.7	35.8
114	210.1	19.8
117	45.7	13.6
118	41.5	13.1
119	107.3	26.0
120	224.4	33.1
121	457.0	38.6
122	593.3	50.6
123	135.7	34.2
124	147.9	17.3
125	45.6	13.9
126	213.4	20.2
127	206.1	28.4
131	73.0	24.0
132	48.8	16.3
133	30.9	18.2
134	42.9	22.8
135	201.1	22.4
136	111.2	25.9
137	80.9	23.7
138	57.1	18.8
139	54.6	16.2
140	185.4	29.2
144	80.0	26.0
145	80.0	26.0
146	10.9	11.4
147	34.7	16.2
148	44.5	16.0
149	182.2	19.0
150	212.2	19.5
151	94.3	20.0
152	120.6	25.4
153	61.0	16.0
162	77.0	25.0
163	184.2	11.4
164	199.0	18.8
165	297.1	26.5
176	#N/A	#N/A
177	#N/A	#N/A
178	63.8	15.0
