Date	Nday	Inf_mm_day
2016-07-05	0	93
2016-07-06	1	109
2016-07-07	2	87
2016-07-08	3	75
2016-07-09	4	47
2016-07-10	5	41
2016-07-11	6	63
2016-07-12	7	0
2016-07-13	8	0
2016-07-14	9	0
2016-07-15	10	0
2016-07-16	11	0
2016-07-17	12	0
2016-07-18	13	0
2016-07-19	14	0
2016-07-20	15	0
2016-07-21	16	0
2016-07-22	17	0
2016-07-23	18	0
2016-07-24	19	0
2016-07-25	20	27
2016-07-26	21	65
2016-07-27	22	180
2016-07-28	23	161
2016-07-29	24	123
2016-07-30	25	77
2016-07-31	26	94
2016-08-01	27	100
2016-08-02	28	80
2016-08-03	29	62
2016-08-04	30	57
2016-08-05	31	4
2016-08-06	32	173
2016-08-07	33	224
2016-08-08	34	172
2016-08-09	35	156
2016-08-10	36	119
2016-08-11	37	62
2016-08-12	38	74
2016-08-13	39	87
2016-08-14	40	67
2016-08-15	41	59
2016-08-16	42	86
2016-08-17	43	74
2016-08-18	44	60
2016-08-19	45	45
2016-08-20	46	50
2016-08-21	47	30
2016-08-22	48	26
2016-08-23	49	20
2016-08-24	50	29
2016-08-25	51	30
2016-08-26	52	40
2016-08-27	53	188
2016-08-28	54	248
2016-08-29	55	213
2016-08-30	56	285
2016-08-31	57	389
2016-09-01	58	325
2016-09-02	59	333
2016-09-03	60	317
2016-09-04	61	311
2016-09-05	62	290
2016-09-06	63	254
2016-09-07	64	226
2016-09-08	65	194
2016-09-09	66	186
2016-09-10	67	176
2016-09-11	68	160
2016-09-12	69	202
2016-09-13	70	322
2016-09-14	71	322
2016-09-15	72	336
2016-09-16	73	322
2016-09-17	74	321
2016-09-18	75	323
2016-09-19	76	319
2016-09-20	77	333
2016-09-21	78	203.4
2016-09-22	79	150
2016-09-23	80	131
2016-09-24	81	101
2016-09-25	82	96
2016-09-26	83	98
2016-09-27	84	91
2016-09-28	85	89
2016-09-29	86	84
2016-09-30	87	85
2016-10-01	88	91
2016-10-02	89	74
2016-10-03	90	62
2016-10-04	91	61
2016-10-05	92	61
2016-10-06	93	60
2016-10-07	94	56
2016-10-08	95	60
2016-10-09	96	72
2016-10-10	97	84
2016-10-11	98	92
2016-10-12	99	94
2016-10-13	100	94
2016-10-14	101	95
2016-10-15	102	102
2016-10-16	103	103
2016-10-17	104	105
2016-10-18	105	104
2016-10-19	106	103
2016-10-20	107	103
2016-10-21	108	102
2016-10-22	109	119
2016-10-23	110	82
2016-10-24	111	87
2016-10-25	112	82
2016-10-26	113	76
2016-10-27	114	82
2016-10-28	115	75
2016-10-29	116	69
2016-10-30	117	77
2016-10-31	118	97
2016-11-01	119	96
2016-11-02	120	96
2016-11-03	121	96
2016-11-04	122	88
2016-11-05	123	84
2016-11-06	124	78
2016-11-07	125	79
2016-11-08	126	79
2016-11-09	127	84
2016-11-10	128	80
2016-11-11	129	82
2016-11-12	130	80
2016-11-13	131	80
2016-11-14	132	80
2016-11-15	133	81
2016-11-16	134	80
2016-11-17	135	78
2016-11-18	136	75
2016-11-19	137	75
2016-11-20	138	63
2016-11-21	139	59
2016-11-22	140	62
2016-11-23	141	57
2016-11-24	142	59
2016-11-25	143	56
2016-11-26	144	55
2016-11-27	145	56
2016-11-28	146	51
2016-11-29	147	52
2016-11-30	148	53
2016-12-01	149	50
2016-12-02	150	49
2016-12-03	151	47
2016-12-04	152	45
2016-12-05	153	43
2016-12-06	154	41
2016-12-07	155	39
2016-12-08	156	36
2016-12-09	157	34
2016-12-10	158	28
2016-12-11	159	26
2016-12-12	160	26
2016-12-13	161	24
2016-12-14	162	18
2016-12-15	163	20
2016-12-16	164	16
2016-12-17	165	21
2016-12-18	166	16
2016-12-19	167	16
2016-12-20	168	17
2016-12-21	169	15
2016-12-22	170	14
2016-12-23	171	14
2016-12-24	172	12
2016-12-25	173	14
2016-12-26	174	14
2016-12-27	175	13
2016-12-28	176	13
2016-12-29	177	12
2016-12-30	178	12
2016-12-31	179	13
2017-01-01	180	13
2017-01-02	181	13
2017-01-03	182	13
2017-01-04	183	11
2017-01-05	184	16
2017-01-06	185	24
2017-01-07	186	57
2017-01-08	187	100
2017-01-09	188	108
2017-01-10	189	106
2017-01-11	190	100
2017-01-12	191	108
2017-01-13	192	121
2017-01-14	193	133
2017-01-15	194	140
2017-01-16	195	145
2017-01-17	196	141
2017-01-18	197	146
2017-01-19	198	123
2017-01-20	199	115
2017-01-21	200	104
2017-01-22	201	87
2017-01-23	202	89
2017-01-24	203	87
2017-01-25	204	83
2017-01-26	205	80
2017-01-27	206	75
2017-01-28	207	74
2017-01-29	208	73
2017-01-30	209	66
2017-01-31	210	62
2017-02-01	211	57
2017-02-02	212	51
2017-02-03	213	42
2017-02-04	214	40
2017-02-05	215	38
2017-02-06	216	35
2017-02-07	217	33
2017-02-08	218	44
2017-02-09	219	36
2017-02-10	220	29
2017-02-11	221	24
2017-02-12	222	21
2017-02-13	223	23
2017-02-14	224	23
2017-02-15	225	18
2017-02-16	226	18
2017-02-17	227	19
2017-02-18	228	16
2017-02-19	229	15
2017-02-20	230	17
2017-02-21	231	13
2017-02-22	232	9
2017-02-23	233	16
2017-02-24	234	11
2017-02-25	235	7
2017-02-26	236	15
2017-02-27	237	12
2017-02-28	238	11
2017-03-01	239	5
2017-03-02	240	8
2017-03-03	241	6
2017-03-04	242	8
2017-03-05	243	4
