Date	Nday	Inf_mm_day
2016-07-05	0	93.3
2016-07-06	1	108.6
2016-07-07	2	86.9
2016-07-08	3	75.1
2016-07-09	4	47.2
2016-07-10	5	41.5
2016-07-11	6	63.3
2016-07-12	7	34.7
2016-07-13	8	0.0
2016-07-14	9	0.0
2016-07-15	10	0.0
2016-07-16	11	0.0
2016-07-17	12	0.0
2016-07-18	13	0.0
2016-07-19	14	0.0
2016-07-20	15	0.0
2016-07-21	16	0.0
2016-07-22	17	0.0
2016-07-23	18	0.0
2016-07-24	19	0.0
2016-07-25	20	0.0
2016-07-26	21	0.0
2016-07-27	22	179.6
2016-07-28	23	161.0
2016-07-29	24	122.8
2016-07-30	25	77.4
2016-07-31	26	93.7
2016-08-01	27	100.4
2016-08-02	28	79.8
2016-08-03	29	62.4
2016-08-04	30	57.0
2016-08-05	31	3.6
2016-08-06	32	174.8
2016-08-07	33	224.3
2016-08-08	34	171.6
2016-08-09	35	155.9
2016-08-10	36	119.0
2016-08-11	37	61.9
2016-08-12	38	73.6
2016-08-13	39	87.1
2016-08-14	40	66.5
2016-08-15	41	63.8
2016-08-16	42	87.0
2016-08-17	43	74.1
2016-08-18	44	60.4
2016-08-19	45	44.6
2016-08-20	46	50.0
2016-08-21	47	29.8
2016-08-22	48	25.7
2016-08-23	49	20.5
2016-08-24	50	28.6
2016-08-25	51	6.3
2016-08-26	52	41.5
2016-08-27	53	157.6
2016-08-28	54	242.7
2016-08-29	55	352.7
2016-08-30	56	266.3
2016-08-31	57	300.3
2016-09-01	58	307.1
2016-09-02	59	304.3
2016-09-03	60	299.9
2016-09-04	61	296.1
2016-09-05	62	275.1
2016-09-06	63	243.3
2016-09-07	64	218.0
2016-09-08	65	187.5
2016-09-09	66	179.4
2016-09-10	67	164.8
2016-09-11	68	126.7
2016-09-12	69	71.8
2016-09-13	70	99.2
2016-09-14	71	115.2
2016-09-15	72	116.3
2016-09-16	73	114.8
2016-09-17	74	115.0
2016-09-18	75	115.6
2016-09-19	76	114.5
2016-09-20	77	114.5
2016-09-21	78	112.1
2016-09-22	79	111.7
2016-09-23	80	112.3
2016-09-24	81	107.8
2016-09-25	82	91.2
2016-09-26	83	96.8
2016-09-27	84	87.7
2016-09-28	85	88.6
2016-09-29	86	85.9
2016-09-30	87	86.8
2016-10-01	88	48.8
2016-10-02	89	81.3
2016-10-03	90	78.4
2016-10-04	91	64.0
2016-10-05	92	63.4
2016-10-06	93	61.5
2016-10-07	94	56.9
2016-10-08	95	66.3
2016-10-09	96	79.2
2016-10-10	97	92.0
2016-10-11	98	102.7
2016-10-12	99	105.6
2016-10-13	100	106.2
2016-10-14	101	108.7
2016-10-15	102	114.9
