Date	Nday	Inf_mm_day
05/07/2016	0	93.3
06/07/2016	1	108.6
07/07/2016	2	90.2
08/07/2016	3	74.3
09/07/2016	4	48.7
10/07/2016	5	41.4
11/07/2016	6	65.8
12/07/2016	7	35.3
13/07/2016	8	0.0
14/07/2016	9	0.0
15/07/2016	10	0.0
16/07/2016	11	0.0
17/07/2016	12	0.0
18/07/2016	13	0.0
19/07/2016	14	0.0
20/07/2016	15	0.0
21/07/2016	16	0.0
22/07/2016	17	0.0
23/07/2016	18	0.0
24/07/2016	19	0.0
25/07/2016	20	0.0
26/07/2016	21	0.0
27/07/2016	22	179.6
28/07/2016	23	146.3
29/07/2016	24	105.2
30/07/2016	25	77.4
31/07/2016	26	89.9
01/08/2016	27	92.7
02/08/2016	28	81.0
03/08/2016	29	63.2
04/08/2016	30	58.5
05/08/2016	31	6.7
06/08/2016	32	174.8
07/08/2016	33	224.3
08/08/2016	34	175.0
09/08/2016	35	159.7
10/08/2016	36	122.9
11/08/2016	37	66.7
12/08/2016	38	79.4
13/08/2016	39	91.5
14/08/2016	40	71.7
15/08/2016	41	63.8
16/08/2016	42	87.0
17/08/2016	43	80.9
18/08/2016	44	66.3
19/08/2016	45	49.7
20/08/2016	46	56.1
21/08/2016	47	35.4
22/08/2016	48	32.3
23/08/2016	49	25.4
24/08/2016	50	33.3
25/08/2016	51	6.3
26/08/2016	52	41.5
27/08/2016	53	157.6
28/08/2016	54	242.7
29/08/2016	55	352.7
30/08/2016	56	266.6
31/08/2016	57	300.7
01/09/2016	58	307.5
02/09/2016	59	304.7
03/09/2016	60	300.2
04/09/2016	61	296.5
05/09/2016	62	275.5
06/09/2016	63	243.3
07/09/2016	64	218.0
08/09/2016	65	187.5
09/09/2016	66	179.4
10/09/2016	67	164.8
11/09/2016	68	126.7
12/09/2016	69	86.1
13/09/2016	70	118.9
14/09/2016	71	138.0
15/09/2016	72	139.5
16/09/2016	73	137.6
17/09/2016	74	137.9
18/09/2016	75	138.6
19/09/2016	76	137.2
20/09/2016	77	137.3
21/09/2016	78	134.4
22/09/2016	79	133.9
23/09/2016	80	134.6
24/09/2016	81	129.3
25/09/2016	82	91.2
26/09/2016	83	96.8
27/09/2016	84	87.7
28/09/2016	85	88.6
29/09/2016	86	85.9
30/09/2016	87	86.8
01/10/2016	88	48.8
02/10/2016	89	97.4
03/10/2016	90	94.0
04/10/2016	91	64.0
05/10/2016	92	63.4
06/10/2016	93	61.5
07/10/2016	94	56.9
08/10/2016	95	22.8
09/10/2016	96	95.0
10/10/2016	97	110.3
11/10/2016	98	123.2
12/10/2016	99	126.5
13/10/2016	100	127.3
14/10/2016	101	130.3
15/10/2016	102	137.7
16/10/2016	103	139.7
17/10/2016	104	141.1
18/10/2016	105	140.8
19/10/2016	106	140.1
20/10/2016	107	140.0
21/10/2016	108	137.8
22/10/2016	109	131.3
23/10/2016	110	84.7
24/10/2016	111	89.4
25/10/2016	112	85.1
26/10/2016	113	79.1
27/10/2016	114	83.8
28/10/2016	115	77.6
29/10/2016	116	71.8
30/10/2016	117	102.8
31/10/2016	118	129.3
01/11/2016	119	130.2
02/11/2016	120	130.9
03/11/2016	121	97.9
04/11/2016	122	89.1
05/11/2016	123	88.1
06/11/2016	124	80.0
07/11/2016	125	108.5
08/11/2016	126	108.1
09/11/2016	127	109.3
10/11/2016	128	110.6
11/11/2016	129	110.1
12/11/2016	130	109.5
13/11/2016	131	108.5
14/11/2016	132	108.3
15/11/2016	133	109.1
16/11/2016	134	108.8
17/11/2016	135	107.3
18/11/2016	136	103.2
19/11/2016	137	99.0
20/11/2016	138	66.2
21/11/2016	139	62.0
22/11/2016	140	64.3
23/11/2016	141	59.5
24/11/2016	142	61.3
25/11/2016	143	58.6
26/11/2016	144	57.6
27/11/2016	145	59.1
28/11/2016	146	54.2
29/11/2016	147	55.0
30/11/2016	148	55.6
01/12/2016	149	51.3
02/12/2016	150	51.1
03/12/2016	151	48.8
04/12/2016	152	46.5
05/12/2016	153	44.5
06/12/2016	154	44.1
07/12/2016	155	42.1
08/12/2016	156	37.6
09/12/2016	157	36.5
10/12/2016	158	30.7
11/12/2016	159	28.2
12/12/2016	160	28.5
13/12/2016	161	26.2
14/12/2016	162	21.8
15/12/2016	163	20.9
16/12/2016	164	19.4
17/12/2016	165	23.6
18/12/2016	166	19.8
19/12/2016	167	19.5
20/12/2016	168	20.7
21/12/2016	169	17.5
22/12/2016	170	18.2
23/12/2016	171	17.8
24/12/2016	172	16.1
25/12/2016	173	17.6
26/12/2016	174	16.3
27/12/2016	175	15.8
28/12/2016	176	17.5
29/12/2016	177	15.4
30/12/2016	178	15.3
31/12/2016	179	16.0
01/01/2017	180	16.6
02/01/2017	181	16.9
03/01/2017	182	16.6
04/01/2017	183	14.3
05/01/2017	184	18.5
06/01/2017	185	23.8
07/01/2017	186	51.6
08/01/2017	187	87.5
09/01/2017	188	95.0
10/01/2017	189	30.9
11/01/2017	190	103.7
12/01/2017	191	94.8
13/01/2017	192	106.1
14/01/2017	193	115.5
15/01/2017	194	122.6
16/01/2017	195	126.7
17/01/2017	196	65.7
18/01/2017	197	145.8
19/01/2017	198	124.6
20/01/2017	199	115.3
21/01/2017	200	105.4
22/01/2017	201	90.4
23/01/2017	202	90.8
24/01/2017	203	89.1
25/01/2017	204	85.4
26/01/2017	205	82.7
27/01/2017	206	77.5
28/01/2017	207	75.8
29/01/2017	208	74.7
30/01/2017	209	68.5
31/01/2017	210	64.9
01/02/2017	211	59.3
02/02/2017	212	55.3
03/02/2017	213	46.9
04/02/2017	214	44.5
05/02/2017	215	42.2
06/02/2017	216	38.7
07/02/2017	217	37.1
08/02/2017	218	47.2
09/02/2017	219	39.5
10/02/2017	220	33.4
11/02/2017	221	30.0
12/02/2017	222	28.2
13/02/2017	223	28.1
14/02/2017	224	27.9
15/02/2017	225	22.4
16/02/2017	226	23.0
17/02/2017	227	23.8
18/02/2017	228	22.9
19/02/2017	229	21.1
20/02/2017	230	22.1
21/02/2017	231	18.9
22/02/2017	232	14.5
23/02/2017	233	20.7
24/02/2017	234	16.7
25/02/2017	235	11.4
26/02/2017	236	20.7
27/02/2017	237	18.6
28/02/2017	238	17.4
01/03/2017	239	12.5
02/03/2017	240	15.0
03/03/2017	241	13.9
04/03/2017	242	14.3
05/03/2017	243	10.8
