CellNumber	2011	2012	2013	2014	2015
3	0	0	67	0	0
16	69	115	190	49	0
17	44	92	284	27	80
27	0	0	0	0	0
28	0	0	67	0	0
29	0	0	236	63	179
30	5	185	473	-7	74
31	35	0	121	13	0
32	36	31	79	21	71
34	0	15	107	11	51
39	0	0	0	0	0
40	0	0	0	0	0
41	15	38	93	14	0
42	1	155	372	42	189
43	47	118	313	35	52
44	74	73	265	18	0
45	61	73	296	30	74
46	15	20	68	5	40
47	15	42	121	-7	45
48	0	40	107	-3	0
49	0	0	0	0	0
52	0	0	111	0	0
53	49	71	399	132	180
54	0	0	126	82	132
55	111	155	299	63	154
56	70	166	413	-9	67
57	26	157	344	-4	68
58	39	143	289	-16	145
59	30	74	276	-18	136
60	23	79	217	35	110
61	36	169	287	23	47
62	11	83	119	24	65
65	70	0	224	0	0
66	0	304	585	107	114
67	40	89	212	-2	213
68	41	44	197	-4	84
69	43	30	291	-6	132
70	59	57	490	-5	7
71	52	94	384	-1	81
72	25	130	335	-10	86
73	25	123	231	32	63
74	31	117	245	15	68
75	29	59	210	-15	68
79	12	55	339	17	73
80	27	37	239	16	82
81	67	106	445	10	129
82	55	62	235	40	88
83	14	12	73	8	10
84	11	58	251	-12	53
85	38	108	295	15	93
86	26	83	183	25	77
87	15	73	125	14	52
88	17	36	130	16	36
91	0	15	136	1	6
92	18	94	362	35	88
93	48	62	297	25	90
94	72	160	473	31	72
95	65	106	392	28	136
96	24	4	129	4	26
97	0	18	120	-4	28
98	41	71	271	27	136
99	43	103	270	4	136
100	11	49	158	30	42
101	17	0	160	33	30
102	22	0	43	48	0
104	4	33	94	9	27
105	40	121	399	39	135
106	31	126	218	41	125
107	0	61	360	55	129
108	47	76	305	39	143
109	2	78	166	12	70
110	0	18	53	0	8
111	12	3	77	18	32
112	29	-15	196	21	54
113	26	21	188	65	13
114	22	51	127	45	10
117	0	0	0	0	0
118	0	0	0	0	0
119	0	0	65	0	0
120	26	131	301	29	63
121	46	145	437	32	105
122	41	82	415	-12	58
123	32	45	361	-10	60
124	36	10	253	-12	70
125	23	10	110	5	34
126	65	83	231	8	45
127	66	126	314	81	50
131	0	0	0	0	0
132	0	0	0	0	0
133	57	97	215	62	139
134	107	82	409	17	208
135	64	71	361	-2	141
136	42	53	270	-5	89
137	35	64	267	-2	114
138	28	76	184	8	25
139	28	68	138	8	22
140	56	103	267	13	46
144	0	0	0	0	0
145	0	0	0	0	0
146	78	0	93	37	80
147	82	87	180	12	112
148	28	0	70	5	51
149	0	0	15	1	0
150	6	23	40	2	24
151	27	145	125	41	-2
152	37	126	252	12	0
153	1	0	0	0	0
162	2	0	7	20	0
163	0	16	43	1	9
164	24	76	166	-7	40
165	79	111	295	9	0
176	5	11	14	-5	19
177	0	0	0	0	0
178	0	0	0	0	0
