CellNum	Alfi1Per	Alfi2Per	IncepPer	EntiPer	TankPer
3	42	0	58	0	0
4	59	0	41	0	0
5	27	0	73	0	0
14	0	86	14	0	0
15	15	85	0	0	0
16	65	0	35	0	0
17	75	0	23	0	2
18	41	0	59	0	0
26	17	0	83	0	0
27	27	42	28	3	0
28	3	90	0	7	0
29	83	3	1	13	0
30	71	0	15	13	2
31	59	0	41	0	0
32	16	0	84	0	0
33	38	0	62	0	0
34	19	0	79	2	0
35	82	0	18	0	0
39	47	42	11	0	0
40	2	78	5	15	0
41	43	38	2	16	0
42	93	0	0	7	0
43	67	0	23	10	0
44	77	0	23	0	0
45	57	0	40	3	0
46	67	0	26	7	0
47	79	0	9	12	0
48	100	0	0	0	0
49	100	0	0	0	0
52	76	10	14	0	0
53	18	51	0	25	6
54	70	15	13	2	0
55	87	2	6	5	0
56	42	0	3	49	6
57	78	0	14	8	0
58	64	0	36	0	0
59	66	0	8	26	0
60	62	0	4	35	0
61	100	0	0	0	0
62	97	0	0	3	0
65	63	0	37	0	0
66	25	30	2	43	0
67	37	21	17	24	0
68	95	3	0	2	0
69	57	0	0	43	0
70	66	0	18	17	0
71	13	0	87	0	0
72	47	0	48	5	0
73	57	0	0	43	0
74	85	0	0	15	0
75	88	0	1	11	0
76	100	0	0	0	0
78	77	0	23	0	0
79	81	0	7	9	3
80	40	0	0	58	2
81	98	0	0	2	0
82	49	0	0	51	0
83	99	0	0	1	0
84	89	0	11	0	0
85	56	0	37	7	0
86	50	0	8	43	0
87	60	0	25	15	0
88	80	0	20	0	0
89	95	0	5	0	0
91	98	0	2	0	0
92	71	13	15	0	0
93	53	18	2	23	4
94	48	0	0	51	0
95	48	0	37	15	0
96	93	0	7	0	0
97	96	0	4	0	0
98	58	0	8	35	0
99	75	0	3	21	0
100	30	0	69	0	0
101	15	0	85	0	0
102	62	0	38	0	0
104	84	0	16	0	0
105	92	3	1	4	0
106	67	9	4	20	0
107	21	3	2	75	0
108	70	0	20	10	0
109	75	0	6	18	0
110	62	0	38	0	0
111	48	0	17	30	5
112	99	0	0	1	0
113	65	0	26	7	2
114	65	0	27	8	0
115	62	0	38	0	0
117	70	0	30	0	0
118	27	34	33	5	1
119	0	91	0	3	6
120	45	33	0	22	0
121	30	0	0	70	0
122	40	0	0	60	0
123	86	0	10	3	0
124	44	0	8	48	0
125	86	0	1	13	0
126	59	0	10	30	1
127	55	0	45	0	0
128	61	0	39	0	0
130	9	91	0	0	0
131	3	96	1	0	0
132	0	88	12	0	0
133	71	11	11	7	0
134	75	0	3	22	0
135	22	0	2	55	21
136	26	0	7	27	40
137	33	12	9	46	0
138	10	0	34	56	0
139	60	0	40	0	0
140	48	0	52	0	0
141	71	0	29	0	0
143	0	100	0	0	0
144	0	90	10	0	0
145	7	44	49	0	0
146	49	1	46	4	0
147	100	0	0	0	0
148	87	0	13	0	0
149	53	0	0	46	0
150	32	12	0	56	0
151	35	0	16	50	0
152	20	0	80	0	0
153	59	0	41	0	0
157	0	100	0	0	0
158	6	29	65	0	0
159	94	0	6	0	0
160	100	0	0	0	0
161	100	0	0	0	0
162	100	0	0	0	0
163	57	0	0	43	0
164	11	0	0	89	0
165	83	2	12	3	0
166	81	0	19	0	0
175	100	0	0	0	0
176	100	0	0	0	0
177	13	0	0	87	0
178	73	10	0	17	0
179	100	0	0	0	0
