Date	HH_basin
05/07/2016	364.88
06/07/2016	364.77
07/07/2016	364.68
08/07/2016	364.60
09/07/2016	364.55
10/07/2016	364.51
11/07/2016	364.44
12/07/2016	364.41
13/07/2016	364.41
14/07/2016	364.41
15/07/2016	364.41
16/07/2016	364.41
17/07/2016	364.41
18/07/2016	364.41
19/07/2016	364.41
20/07/2016	364.41
21/07/2016	364.41
22/07/2016	364.41
23/07/2016	364.41
24/07/2016	364.41
25/07/2016	364.41
26/07/2016	364.41
27/07/2016	365.25
28/07/2016	365.10
29/07/2016	364.99
30/07/2016	364.92
31/07/2016	364.83
01/08/2016	364.73
02/08/2016	364.65
03/08/2016	364.59
04/08/2016	364.53
05/08/2016	364.52
06/08/2016	365.23
07/08/2016	365.46
08/08/2016	365.28
09/08/2016	365.12
10/08/2016	365.00
11/08/2016	364.93
12/08/2016	364.85
13/08/2016	364.76
14/08/2016	364.69
15/08/2016	364.71
16/08/2016	364.82
17/08/2016	364.73
18/08/2016	364.67
19/08/2016	364.62
20/08/2016	364.56
21/08/2016	364.53
22/08/2016	364.49
23/08/2016	364.47
24/08/2016	364.44
25/08/2016	364.44
26/08/2016	364.60
27/08/2016	365.15
28/08/2016	365.54
29/08/2016	366.06
30/08/2016	366.69
31/08/2016	366.98
01/09/2016	367.04
02/09/2016	367.01
03/09/2016	366.98
04/09/2016	366.94
05/09/2016	366.76
06/09/2016	366.51
07/09/2016	366.27
08/09/2016	366.08
09/09/2016	365.89
10/09/2016	365.71
11/09/2016	365.58
12/09/2016	366.04
13/09/2016	366.66
14/09/2016	367.02
15/09/2016	367.05
16/09/2016	367.01
17/09/2016	367.02
18/09/2016	367.03
19/09/2016	367.00
20/09/2016	367.00
21/09/2016	366.95
22/09/2016	366.94
23/09/2016	366.95
24/09/2016	366.85
25/09/2016	366.76
26/09/2016	366.66
27/09/2016	366.57
28/09/2016	366.48
29/09/2016	366.39
30/09/2016	366.30
01/10/2016	366.26
02/10/2016	366.25
03/10/2016	366.19
04/10/2016	366.12
05/10/2016	366.06
06/10/2016	365.99
07/10/2016	365.93
08/10/2016	365.91
09/10/2016	366.20
10/10/2016	366.49
11/10/2016	366.74
12/10/2016	366.80
13/10/2016	366.81
14/10/2016	366.87
15/10/2016	367.01
16/10/2016	367.05
17/10/2016	367.08
18/10/2016	367.07
19/10/2016	367.06
20/10/2016	367.06
21/10/2016	367.02
22/10/2016	366.89
23/10/2016	366.81
24/10/2016	366.71
25/10/2016	366.63
26/10/2016	366.55
27/10/2016	366.46
28/10/2016	366.38
29/10/2016	366.31
30/10/2016	366.35
31/10/2016	366.85
01/11/2016	366.86
02/11/2016	366.88
03/11/2016	366.78
04/11/2016	366.69
05/11/2016	366.60
06/11/2016	366.52
07/11/2016	366.46
08/11/2016	366.45
09/11/2016	366.48
10/11/2016	366.50
11/11/2016	366.49
12/11/2016	366.48
13/11/2016	366.46
14/11/2016	366.46
15/11/2016	366.47
16/11/2016	366.47
17/11/2016	366.44
18/11/2016	366.36
19/11/2016	366.28
20/11/2016	366.21
21/11/2016	366.15
22/11/2016	366.09
23/11/2016	366.02
24/11/2016	365.96
25/11/2016	365.90
26/11/2016	365.84
27/11/2016	365.78
28/11/2016	365.73
29/11/2016	365.67
30/11/2016	365.61
01/12/2016	365.56
02/12/2016	365.51
03/12/2016	365.46
04/12/2016	365.41
05/12/2016	365.37
06/12/2016	365.32
07/12/2016	365.28
08/12/2016	365.24
09/12/2016	365.20
10/12/2016	365.17
11/12/2016	365.14
12/12/2016	365.11
13/12/2016	365.09
14/12/2016	365.06
15/12/2016	365.04
16/12/2016	365.02
17/12/2016	365.00
18/12/2016	364.98
19/12/2016	364.96
20/12/2016	364.94
21/12/2016	364.92
22/12/2016	364.90
23/12/2016	364.88
24/12/2016	364.87
25/12/2016	364.85
26/12/2016	364.83
27/12/2016	364.82
28/12/2016	364.80
29/12/2016	364.78
30/12/2016	364.77
31/12/2016	364.75
01/01/2017	364.73
02/01/2017	364.72
03/01/2017	364.70
04/01/2017	364.69
05/01/2017	364.67
06/01/2017	364.86
07/01/2017	365.38
08/01/2017	366.06
09/01/2017	366.20
10/01/2017	366.17
11/01/2017	366.07
12/01/2017	366.20
13/01/2017	366.41
14/01/2017	366.59
15/01/2017	366.73
16/01/2017	366.81
17/01/2017	366.74
18/01/2017	366.59
19/01/2017	366.46
20/01/2017	366.34
21/01/2017	366.23
22/01/2017	366.14
23/01/2017	366.05
24/01/2017	365.95
25/01/2017	365.87
26/01/2017	365.78
27/01/2017	365.70
28/01/2017	365.62
29/01/2017	365.55
30/01/2017	365.48
31/01/2017	365.41
01/02/2017	365.35
02/02/2017	365.29
03/02/2017	365.24
04/02/2017	365.20
05/02/2017	365.15
06/02/2017	365.11
07/02/2017	365.07
08/02/2017	365.03
09/02/2017	364.98
10/02/2017	364.95
11/02/2017	364.92
12/02/2017	364.89
13/02/2017	364.86
14/02/2017	364.83
15/02/2017	364.81
16/02/2017	364.79
17/02/2017	364.76
18/02/2017	364.74
19/02/2017	364.72
20/02/2017	364.69
21/02/2017	364.67
22/02/2017	364.66
23/02/2017	364.64
24/02/2017	364.62
25/02/2017	364.62
26/02/2017	364.60
27/02/2017	364.58
28/02/2017	364.56
01/03/2017	364.55
02/03/2017	364.54
03/03/2017	364.52
04/03/2017	364.51
05/03/2017	364.49
