Date	HH_basin	HH_CH16
05/07/2016	364.88	344.472
06/07/2016	364.77	344.505
07/07/2016	364.68	344.548
08/07/2016	364.6	344.613
09/07/2016	364.55	344.658
10/07/2016	364.51	344.688
11/07/2016	364.44	344.71
12/07/2016	364.41	344.723
13/07/2016	364.41	344.737
14/07/2016	364.41	344.747
15/07/2016	364.41	344.762
16/07/2016	364.41	344.775
17/07/2016	364.41	344.782
18/07/2016	364.41	344.782
19/07/2016	364.41	344.785
20/07/2016	364.41	344.788
21/07/2016	364.41	344.788
22/07/2016	364.41	344.79
23/07/2016	364.41	344.793
24/07/2016	364.41	344.797
25/07/2016	364.41	344.792
26/07/2016	364.41	344.786
27/07/2016	365.25	344.791
28/07/2016	365.1	344.79
29/07/2016	364.99	344.781
30/07/2016	364.92	344.786
31/07/2016	364.83	344.79
01/08/2016	364.73	344.792
02/08/2016	364.65	344.802
03/08/2016	364.59	344.81
04/08/2016	364.53	344.817
05/08/2016	364.52	344.825
06/08/2016	365.23	344.836
07/08/2016	365.46	344.835
08/08/2016	365.28	344.845
09/08/2016	365.12	344.851
10/08/2016	365	344.864
11/08/2016	364.93	344.877
12/08/2016	364.85	344.901
13/08/2016	364.76	344.923
14/08/2016	364.69	344.942
15/08/2016	364.71	344.958
16/08/2016	364.82	344.972
17/08/2016	364.73	344.983
18/08/2016	364.67	344.995
19/08/2016	364.62	345.005
20/08/2016	364.56	345.03
21/08/2016	364.53	345.044
22/08/2016	364.49	345.056
23/08/2016	364.47	345.065
24/08/2016	364.44	345.077
25/08/2016	364.44	345.084
26/08/2016	364.6	345.095
27/08/2016	365.15	345.104
28/08/2016	365.54	345.109
29/08/2016	366.06	345.11
30/08/2016	366.69	345.114
31/08/2016	366.98	345.14
01/09/2016	367.04	345.262
02/09/2016	367.01	345.389
03/09/2016	366.98	345.506
04/09/2016	366.94	345.634
05/09/2016	366.76	345.814
06/09/2016	366.51	346.044
07/09/2016	366.27	346.316
08/09/2016	366.08	346.58
09/09/2016	365.89	346.838
10/09/2016	365.71	347.062
11/09/2016	365.58	347.278
12/09/2016	366.04	347.469
13/09/2016	366.66	347.636
14/09/2016	367.02	347.802
15/09/2016	367.05	347.976
16/09/2016	367.01	348.258
17/09/2016	367.02	348.76
18/09/2016	367.03	349.163
19/09/2016	367	349.557
20/09/2016	367	349.986
21/09/2016	366.95	350.504
22/09/2016	366.94	351.256
23/09/2016	366.95	352.09
24/09/2016	366.85	352.966
25/09/2016	366.76	353.675
26/09/2016	366.66	354.187
27/09/2016	366.57	354.457
28/09/2016	366.48	354.659
29/09/2016	366.39	354.924
30/09/2016	366.3	355.176
01/10/2016	366.26	355.31
02/10/2016	366.25	355.471
03/10/2016	366.19	355.668
04/10/2016	366.12	355.842
05/10/2016	366.06	355.995
06/10/2016	365.99	356.156
07/10/2016	365.93	356.299
08/10/2016	365.91	356.43
09/10/2016	366.2	356.546
10/10/2016	366.49	356.661
11/10/2016	366.74	356.765
12/10/2016	366.8	356.86
13/10/2016	366.81	356.953
14/10/2016	366.87	357.036
15/10/2016	367.01	357.096
16/10/2016	367.05	357.149
17/10/2016	367.08	357.211
18/10/2016	367.07	357.265
19/10/2016	367.06	357.384
20/10/2016	367.06	357.588
21/10/2016	367.02	357.794
22/10/2016	366.89	357.961
23/10/2016	366.81	358.106
24/10/2016	366.71	358.182
25/10/2016	366.63	358.234
26/10/2016	366.55	358.27
27/10/2016	366.46	358.274
28/10/2016	366.38	358.288
29/10/2016	366.31	358.284
30/10/2016	366.35	358.284
31/10/2016	366.85	358.283
01/11/2016	366.86	358.283
02/11/2016	366.88	358.287
03/11/2016	366.78	358.29
04/11/2016	366.69	358.298
05/11/2016	366.6	358.291
06/11/2016	366.52	358.281
07/11/2016	366.46	358.264
08/11/2016	366.45	358.251
09/11/2016	366.48	358.251
10/11/2016	366.5	358.232
11/11/2016	366.49	358.226
12/11/2016	366.48	358.184
13/11/2016	366.46	358.164
14/11/2016	366.46	358.157
15/11/2016	366.47	358.155
16/11/2016	366.47	358.141
17/11/2016	366.44	358.129
