FID	Name	Distance	X	Y
10	P10	38.5	1.2	38.5
11	P11	56.4	12.5	55
12	P12	75.4	23.8	71.5
13	P13	94.8	35.1	88
14	P14	114.4	46.4	104.5
15	P15	134.1	57.7	121
16	P16	153.9	69	137.5
17	P17	173.7	80.3	154.1
18	P18	193.6	91.5	170.6
19	P19	213.5	102.8	187.1
20	P20	233.4	114.1	203.6
21	P21	253.3	125.4	220.1
22	P22	273.3	136.7	236.6
23	P23	293.2	148	253.1
24	P24	313.2	159.3	269.6
25	P25	333.1	170.6	286.1
26	P26	353.1	181.9	302.6
27	P27	373	193.1	319.2
28	P28	393	204.4	335.7
29	P29	413	215.7	352.2
30	P30	433	227	368.7
31	P31	452.9	238.3	385.2
32	P32	472.9	249.6	401.7
33	P33	492.9	260.9	418.2
34	P34	512.9	272.2	434.7
35	P35	532.9	283.4	451.2
36	P36	552.9	294.7	467.7
37	P37	572.8	306	484.3
38	P38	592.8	317.3	500.8
39	P39	612.8	328.6	517.3
40	P40	632.8	339.9	533.8
41	P41	652.8	351.2	550.3
42	P42	672.8	362.5	566.8
43	P43	692.8	373.7	583.3
44	P44	712.8	385	599.8
45	P45	732.8	396.3	616.3
46	P46	752.8	407.6	632.9
47	P47	772.7	418.9	649.4
48	P48	792.7	430.2	665.9
