Date	Inf_mm_day
05/07/2016	93
06/07/2016	109
07/07/2016	87
08/07/2016	75
09/07/2016	47
10/07/2016	41
11/07/2016	63
12/07/2016	0
13/07/2016	0
14/07/2016	0
15/07/2016	0
16/07/2016	0
17/07/2016	0
18/07/2016	0
19/07/2016	0
20/07/2016	0
21/07/2016	0
22/07/2016	0
23/07/2016	0
24/07/2016	0
25/07/2016	27
26/07/2016	65
27/07/2016	180
28/07/2016	161
29/07/2016	123
30/07/2016	77
31/07/2016	94
01/08/2016	100
02/08/2016	80
03/08/2016	62
04/08/2016	57
05/08/2016	4
06/08/2016	173
07/08/2016	224
08/08/2016	172
09/08/2016	156
10/08/2016	119
11/08/2016	62
12/08/2016	74
13/08/2016	87
14/08/2016	67
15/08/2016	59
16/08/2016	86
17/08/2016	74
18/08/2016	60
19/08/2016	45
20/08/2016	50
21/08/2016	30
22/08/2016	26
23/08/2016	20
24/08/2016	29
25/08/2016	30
26/08/2016	40
27/08/2016	188
28/08/2016	248
29/08/2016	213
30/08/2016	285
31/08/2016	389
01/09/2016	325
02/09/2016	333
03/09/2016	317
04/09/2016	311
05/09/2016	290
06/09/2016	254
07/09/2016	226
08/09/2016	194
09/09/2016	186
10/09/2016	176
11/09/2016	160
12/09/2016	202
13/09/2016	322
14/09/2016	322
15/09/2016	336
16/09/2016	322
17/09/2016	321
18/09/2016	323
19/09/2016	319
20/09/2016	333
21/09/2016	203.4
22/09/2016	150
23/09/2016	131
24/09/2016	101
25/09/2016	96
26/09/2016	98
27/09/2016	91
28/09/2016	89
29/09/2016	84
30/09/2016	85
01/10/2016	91
02/10/2016	74
03/10/2016	62
04/10/2016	61
05/10/2016	61
06/10/2016	60
07/10/2016	56
08/10/2016	60
09/10/2016	72
10/10/2016	84
11/10/2016	92
12/10/2016	94
13/10/2016	94
14/10/2016	95
15/10/2016	102
16/10/2016	103
17/10/2016	105
18/10/2016	104
19/10/2016	103
20/10/2016	103
21/10/2016	102
22/10/2016	119
23/10/2016	82
24/10/2016	87
25/10/2016	82
26/10/2016	76
27/10/2016	82
28/10/2016	75
29/10/2016	69
30/10/2016	77
31/10/2016	97
01/11/2016	96
02/11/2016	96
03/11/2016	96
04/11/2016	88
05/11/2016	84
06/11/2016	78
07/11/2016	79
08/11/2016	79
09/11/2016	84
10/11/2016	80
11/11/2016	82
12/11/2016	80
13/11/2016	80
14/11/2016	80
15/11/2016	81
16/11/2016	80
17/11/2016	78
18/11/2016	75
19/11/2016	75
20/11/2016	63
21/11/2016	59
22/11/2016	62
23/11/2016	57
24/11/2016	59
25/11/2016	56
26/11/2016	55
27/11/2016	56
28/11/2016	51
29/11/2016	52
30/11/2016	53
01/12/2016	50
02/12/2016	49
03/12/2016	47
04/12/2016	45
05/12/2016	43
06/12/2016	41
07/12/2016	39
08/12/2016	36
09/12/2016	34
10/12/2016	28
11/12/2016	26
12/12/2016	26
13/12/2016	24
14/12/2016	18
15/12/2016	20
16/12/2016	16
17/12/2016	21
18/12/2016	16
19/12/2016	16
20/12/2016	17
21/12/2016	15
22/12/2016	14
23/12/2016	14
24/12/2016	12
25/12/2016	14
26/12/2016	14
27/12/2016	13
28/12/2016	13
29/12/2016	12
30/12/2016	12
31/12/2016	13
01/01/2017	13
02/01/2017	13
03/01/2017	13
04/01/2017	11
05/01/2017	16
06/01/2017	24
07/01/2017	57
08/01/2017	100
09/01/2017	108
10/01/2017	106
11/01/2017	100
12/01/2017	108
13/01/2017	121
14/01/2017	133
15/01/2017	140
16/01/2017	145
17/01/2017	141
18/01/2017	146
19/01/2017	123
20/01/2017	115
21/01/2017	104
22/01/2017	87
23/01/2017	89
24/01/2017	87
25/01/2017	83
26/01/2017	80
27/01/2017	75
28/01/2017	74
29/01/2017	73
30/01/2017	66
31/01/2017	62
01/02/2017	57
02/02/2017	51
03/02/2017	42
04/02/2017	40
05/02/2017	38
06/02/2017	35
07/02/2017	33
08/02/2017	44
09/02/2017	36
10/02/2017	29
11/02/2017	24
12/02/2017	21
13/02/2017	23
14/02/2017	23
15/02/2017	18
16/02/2017	18
17/02/2017	19
18/02/2017	16
19/02/2017	15
20/02/2017	17
21/02/2017	13
22/02/2017	9
23/02/2017	16
24/02/2017	11
25/02/2017	7
26/02/2017	15
27/02/2017	12
28/02/2017	11
01/03/2017	5
02/03/2017	8
03/03/2017	6
04/03/2017	8
05/03/2017	4
