Date	Inf_mm_day
05/07/2016	93
06/07/2016	109
07/07/2016	87
08/07/2016	75
09/07/2016	47
10/07/2016	41
11/07/2016	63
12/07/2016	35
13/07/2016	0
14/07/2016	0
15/07/2016	0
16/07/2016	0
17/07/2016	0
18/07/2016	0
19/07/2016	0
20/07/2016	0
21/07/2016	0
22/07/2016	0
23/07/2016	0
24/07/2016	0
25/07/2016	0
26/07/2016	0
27/07/2016	180
28/07/2016	161
29/07/2016	123
30/07/2016	77
31/07/2016	94
01/08/2016	100
02/08/2016	80
03/08/2016	62
04/08/2016	57
05/08/2016	4
06/08/2016	175
07/08/2016	224
08/08/2016	172
09/08/2016	156
10/08/2016	119
11/08/2016	62
12/08/2016	74
13/08/2016	87
14/08/2016	67
15/08/2016	64
16/08/2016	87
17/08/2016	74
18/08/2016	60
19/08/2016	45
20/08/2016	50
21/08/2016	30
22/08/2016	26
23/08/2016	20
24/08/2016	29
25/08/2016	6
26/08/2016	42
27/08/2016	158
28/08/2016	243
29/08/2016	353
30/08/2016	267
31/08/2016	301
01/09/2016	307
02/09/2016	305
03/09/2016	300
04/09/2016	296
05/09/2016	275
06/09/2016	243
07/09/2016	218
08/09/2016	187
09/09/2016	179
10/09/2016	165
11/09/2016	127
12/09/2016	74
13/09/2016	103
14/09/2016	119
15/09/2016	120
16/09/2016	119
17/09/2016	119
18/09/2016	120
19/09/2016	118
20/09/2016	118
21/09/2016	116
22/09/2016	115
23/09/2016	116
24/09/2016	111
25/09/2016	91
26/09/2016	97
27/09/2016	88
28/09/2016	89
29/09/2016	86
30/09/2016	87
01/10/2016	49
02/10/2016	84
03/10/2016	81
04/10/2016	64
05/10/2016	63
06/10/2016	61
07/10/2016	57
08/10/2016	69
09/10/2016	82
10/10/2016	95
11/10/2016	106
12/10/2016	109
13/10/2016	110
14/10/2016	112
15/10/2016	119
16/10/2016	120
17/10/2016	122
18/10/2016	121
19/10/2016	121
20/10/2016	121
21/10/2016	119
22/10/2016	113
23/10/2016	85
24/10/2016	89
25/10/2016	85
26/10/2016	79
27/10/2016	84
28/10/2016	78
29/10/2016	72
30/10/2016	89
31/10/2016	112
01/11/2016	112
02/11/2016	113
03/11/2016	98
04/11/2016	89
05/11/2016	88
06/11/2016	80
07/11/2016	94
08/11/2016	93
09/11/2016	94
10/11/2016	95
11/11/2016	95
12/11/2016	94
13/11/2016	94
14/11/2016	93
15/11/2016	94
16/11/2016	94
17/11/2016	93
18/11/2016	89
19/11/2016	85
20/11/2016	66
21/11/2016	62
22/11/2016	64
23/11/2016	60
24/11/2016	61
25/11/2016	59
26/11/2016	58
27/11/2016	59
28/11/2016	54
29/11/2016	55
30/11/2016	56
01/12/2016	51
02/12/2016	51
03/12/2016	49
04/12/2016	47
05/12/2016	44
06/12/2016	44
07/12/2016	42
08/12/2016	38
09/12/2016	37
10/12/2016	31
11/12/2016	28
12/12/2016	28
13/12/2016	26
14/12/2016	22
15/12/2016	21
16/12/2016	19
17/12/2016	24
18/12/2016	20
19/12/2016	19
20/12/2016	21
21/12/2016	17
22/12/2016	18
23/12/2016	18
24/12/2016	16
25/12/2016	18
26/12/2016	16
27/12/2016	16
28/12/2016	17
29/12/2016	15
30/12/2016	15
31/12/2016	16
01/01/2017	17
02/01/2017	17
03/01/2017	17
04/01/2017	14
05/01/2017	19
06/01/2017	21
07/01/2017	44
08/01/2017	75
09/01/2017	82
10/01/2017	80
11/01/2017	76
12/01/2017	82
13/01/2017	91
14/01/2017	100
15/01/2017	106
16/01/2017	109
17/01/2017	106
18/01/2017	146
19/01/2017	125
20/01/2017	115
21/01/2017	105
22/01/2017	90
23/01/2017	91
24/01/2017	89
25/01/2017	85
26/01/2017	83
27/01/2017	78
28/01/2017	76
29/01/2017	75
30/01/2017	68
31/01/2017	65
01/02/2017	59
02/02/2017	55
03/02/2017	47
04/02/2017	45
05/02/2017	42
06/02/2017	39
07/02/2017	37
08/02/2017	47
09/02/2017	39
10/02/2017	33
11/02/2017	30
12/02/2017	28
13/02/2017	28
14/02/2017	28
15/02/2017	22
16/02/2017	23
17/02/2017	24
18/02/2017	23
19/02/2017	21
20/02/2017	22
21/02/2017	19
22/02/2017	14
23/02/2017	21
24/02/2017	17
25/02/2017	10
26/02/2017	21
27/02/2017	19
28/02/2017	17
01/03/2017	13
02/03/2017	15
03/03/2017	14
04/03/2017	14
05/03/2017	11
